Time,Objective value
0.18285417556762695,68508
0.18286371231079102,68508
0.4016685485839844,67616
0.5774693489074707,67616
0.7465846538543701,67616
0.8533775806427002,67488
0.9553444385528564,67488
1.0528619289398193,67488
1.1544909477233887,67488
1.2618317604064941,67488
1.3644492626190186,67488
1.4929511547088623,67488
1.5904076099395752,67352
1.69594407081604,67352
1.7979412078857422,67352
1.9035446643829346,67352
2.004180669784546,67352
2.1069726943969727,67352
2.2125613689422607,67352
2.314913511276245,67132
2.424057722091675,67132
2.5298993587493896,67132
2.6335630416870117,67132
2.7301547527313232,67132
2.838109254837036,67132
2.9409382343292236,67132
2.9409496784210205,67132
