Time,Objective value
3.894172191619873,151994
3.8945560455322266,151994
7.948709011077881,151264
10.99691915512085,150930
12.640477895736694,150926
14.348577976226807,150926
16.443077564239502,150854
18.11482834815979,150854
20.88750147819519,150602
24.130598068237305,150602
25.772560834884644,150590
27.55004072189331,150590
30.280568599700928,150574
33.06839442253113,150574
36.32573390007019,150544
39.11089110374451,150544
40.51209807395935,150544
41.97155141830444,150422
43.53533220291138,150404
44.96176886558533,150404
46.81921672821045,150404
50.228607416152954,150404
51.88229298591614,150378
53.25674533843994,150378
55.38210988044739,150378
58.33846378326416,150378
60.76211977005005,150364
63.70079231262207,150362
66.8350396156311,150362
70.67308640480042,150344
72.2216444015503,150344
73.77134919166565,150344
75.94910979270935,150344
78.93020343780518,150344
82.1967420578003,150344
86.03299975395203,150310
87.89235496520996,150310
89.41428184509277,150310
91.2306444644928,150310
92.74026250839233,150310
94.14291739463806,150310
96.7248432636261,150310
99.30130410194397,150310
101.08273911476135,150310
101.08294606208801,150310
