Time,Objective value
0.009846210479736328,171342
0.012858390808105469,171342
0.04609870910644531,169756
0.07881760597229004,169326
0.11127877235412598,168862
0.14377570152282715,168418
0.1758289337158203,167928
0.20801401138305664,167262
0.2400834560394287,167106
0.27181339263916016,166422
0.3035247325897217,166290
0.33439159393310547,166266
0.36522960662841797,165350
0.3964385986328125,165350
0.42749452590942383,165272
0.45679187774658203,164744
0.487168550491333,163934
0.5159056186676025,163612
0.5453112125396729,163500
0.5812993049621582,161668
0.6097695827484131,161668
0.644946813583374,161668
0.6730244159698486,161668
0.700491189956665,161668
0.7294266223907471,161648
0.7708568572998047,161648
0.7980122566223145,161600
0.8312721252441406,161206
0.8560314178466797,161206
0.8923335075378418,160878
0.9141724109649658,160700
0.9407076835632324,160576
0.9665491580963135,160516
0.9848921298980713,160218
1.009167194366455,160058
1.0332667827606201,159866
1.0499770641326904,159668
1.0664136409759521,159122
1.0824291706085205,158942
1.097865343093872,158922
1.1133244037628174,158722
1.1287240982055664,158360
1.1510283946990967,158336
1.173590898513794,158110
1.19620943069458,157802
1.2119684219360352,157802
1.2342822551727295,157698
1.2566735744476318,157526
1.2721607685089111,157050
1.2871057987213135,157050
1.3021564483642578,157040
1.317354679107666,156910
1.3465664386749268,156908
1.3761675357818604,156696
1.3916761875152588,156696
1.4205763339996338,156696
1.4429433345794678,156646
1.4652040004730225,156536
1.4802629947662354,156452
1.495020866394043,156392
1.5166308879852295,156346
1.5313355922698975,156346
1.5457265377044678,156280
1.5599875450134277,156218
1.5881199836730957,156168
1.6304802894592285,156168
1.64534592628479,156138
1.6733603477478027,156086
1.7015397548675537,156086
1.75046706199646,155976
1.779435634613037,155976
1.8144643306732178,155976
1.8428869247436523,155922
1.87111234664917,155878
1.8853330612182617,155758
1.9129300117492676,155758
1.9688749313354492,155758
2.0050771236419678,155730
2.0403671264648438,155730
2.075697660446167,155698
2.124955654144287,155626
2.1539700031280518,155622
2.1822521686553955,155540
2.2174675464630127,155462
2.2528769969940186,155434
2.2953672409057617,155434
2.3451626300811768,155390
2.360485792160034,155352
2.394958972930908,155332
2.416266679763794,155282
2.4437966346740723,155268
2.4925572872161865,155268
