Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,1.8522424697875977,50161.0,4780.0,17937024.0,4.208999155732202
chr20b,2.167523145675659,50003.0,5231.0,2686.0,16.88424717145344
chr22a,1.3260650634765625,50003.0,3568.0,6680.0,8.512020792722547
nug25,1.4120650291442869,50003.0,3746.0,3768.0,0.6410256410256411
tai30b,1.4173452854156494,50000.0,3802.0,685859477.0,7.650455937447092
kra30b,1.5058321952819824,50000.0,3622.0,92790.0,1.4985779916867206
esc32b,1.0233511924743652,50179.0,2160.0,200.0,19.047619047619047
tai50b,0.8522951602935791,50203.0,1860.0,494431997.0,7.761292502766386
sko56,1.0022134780883791,51006.0,2260.0,36614.0,6.256892448778223
tai60a,1.7334778308868408,50083.0,3880.0,7548320.0,4.751038098729913
sko64,0.9593667984008788,51406.0,2040.0,50726.0,4.594003876448514
sko72,0.8050820827484131,50288.0,1770.0,69690.0,5.182926829268292
lipa90b,1.82004189491272,50178.0,3350.0,15426381.0,23.50549512222987
sko100d,1.1533429622650146,50006.0,1918.0,160760.0,7.477135369310584
sko100c,1.155970573425293,50860.0,1990.0,160452.0,8.514696135585885
sko100e,0.8077852725982666,50418.0,1490.0,161082.0,8.0
sko100a,1.1591079235076904,50055.0,1740.0,165636.0,8.969618820804989
sko100b,0.8575594425201416,50092.0,1490.0,165336.0,7.437780232633699
tho150,1.5480594635009766,50562.0,1770.0,9038980.0,11.13411639268114
tai256c,1.3674664497375488,51860.0,570.0,48613516.0,8.610998198497054
