Algorithm,Time,Evaluations,Iterations,Distance to optimum
Geedy QAP,0.00022533065394351356,1.0,0.0,58.73591434496865
Geedy QAP + 2OPT,0.0449458172446803,34936.10526315789,0.0,17.875904708649134
Geedy QAP + 2OPTB,0.0397446030064633,26943.78947368421,0.0,12.940985769015208
Greedy Adaptativo,0.006770234358938117,1.0,0.0,32.73712136251647
Greedy Adaptativo + 2OPT,0.04644144208807694,33690.63157894737,0.0,11.554965100626024
Greedy Adaptativo + 2OPTB,0.05792901390477231,28801.736842105263,0.0,7.937706116303889
