Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,2.577043056488037,50000.0,24975.0,19692188.0,14.406001946951724
chr20b,2.6822097301483154,50000.0,24975.0,3462.0,50.652741514360315
chr22a,2.6471199989318848,50000.0,24975.0,6832.0,10.981156595191683
nug25,2.651071548461914,50000.0,24975.0,3902.0,4.22008547008547
tai30b,3.102877140045166,50000.0,24975.0,720055154.0,13.01770731121454
kra30b,2.701124668121338,50000.0,24975.0,93720.0,2.5158608619558085
esc32b,3.105207920074463,50000.0,24975.0,204.0,21.428571428571427
tai50b,2.8599271774291988,50000.0,24975.0,485708691.0,5.860050804897191
sko56,3.472745180130005,50000.0,24975.0,35574.0,3.2387254048406757
tai60a,3.030864715576172,50000.0,24975.0,7668198.0,6.414632772140624
sko64,3.1860747337341313,50000.0,24975.0,50828.0,4.804321827704236
sko72,3.26487398147583,50000.0,24975.0,68810.0,3.854745230620623
lipa90b,3.635873556137085,50000.0,24975.0,15453622.0,23.723589903671137
sko100d,3.9718058109283447,50000.0,24975.0,156364.0,4.538161202331925
sko100c,4.063780069351196,50000.0,24975.0,156158.0,5.6106369452597695
sko100e,3.9439752101898193,50000.0,24975.0,156508.0,4.933288635601743
sko100a,3.9687070846557617,50000.0,24975.0,158552.0,4.30915382692333
sko100b,4.089064359664917,50000.0,24975.0,160010.0,3.976866593020989
tho150,5.771828413009644,50000.0,24975.0,8687816.0,6.816560556854589
tai256c,13.361148834228516,50000.0,24975.0,45803852.0,2.3337231369198985
