Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,2.647284507751465,50021.0,1434.0,17937024.0,4.208999155732202
chr20b,2.761038064956665,50000.0,1435.0,4010.0,74.49956483899042
chr22a,2.8493869304656982,50018.0,1434.0,6674.0,8.414554905782976
nug25,2.764291286468506,50009.0,1436.0,3874.0,3.4722222222222223
tai30b,2.7068982124328613,50020.0,1435.0,753448999.0,18.259105528060115
kra30b,3.0639221668243413,50020.0,1435.0,95720.0,4.703565959308685
esc32b,3.3607616424560547,50032.0,1437.0,216.0,28.571428571428573
tai50b,3.081636667251587,50009.0,1436.0,511896070.0,11.567581517760424
sko56,3.1586642265319824,50010.0,1435.0,35618.0,3.3664170874688026
tai60a,3.184952974319458,50020.0,1435.0,7706884.0,6.951493776958579
sko64,3.2282495498657227,50032.0,1437.0,49824.0,2.7341333663243845
sko72,3.983054637908936,50020.0,1435.0,68790.0,3.824559285196812
lipa90b,4.523189067840576,50022.0,1435.0,15421566.0,23.466945642671863
sko100d,4.813987493515015,50009.0,1436.0,155800.0,4.161095362892443
sko100c,4.814780950546265,50009.0,1436.0,154554.0,4.525841663172417
sko100e,4.33258056640625,50009.0,1436.0,155490.0,4.250754274220584
sko100a,4.433594703674316,50009.0,1436.0,158656.0,4.377573979289746
sko100b,4.55021858215332,50009.0,1436.0,160868.0,4.534407693807265
tho150,6.720150232315064,50019.0,1436.0,8581680.0,5.511620112528614
tai256c,14.11763620376587,50032.0,1437.0,45812798.0,2.3537100473479318
