Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,2.01373028755188,50003.0,4666.0,17937024.0,4.208999155732202
chr20b,1.9115262031555176,50368.0,4940.0,2510.0,9.225413402959095
chr22a,1.367867946624756,50823.0,3560.0,6726.0,9.25925925925926
nug25,1.332435131072998,50004.0,3421.0,3792.0,1.2820512820512822
tai30b,1.5898871421813965,50006.0,3847.0,699824420.0,9.842351699631713
kra30b,1.5278074741363523,50166.0,3950.0,93350.0,2.1111354189455263
esc32b,0.7599167823791504,50724.0,1750.0,184.0,9.523809523809524
tai50b,0.9034340381622314,50002.0,2115.0,488973736.0,6.571666297855861
sko56,1.022695541381836,50118.0,2290.0,36942.0,7.208775901096987
tai60a,1.6329188346862793,50866.0,3440.0,7610652.0,5.616044047970278
sko64,1.009601593017578,50005.0,2166.0,51196.0,5.563116004783702
sko72,0.9830961227416992,50165.0,2100.0,70898.0,7.006157932866457
lipa90b,1.398510456085205,50269.0,2530.0,15345170.0,22.85530991259636
sko100d,0.8522355556488037,50479.0,1490.0,160956.0,7.608172434080334
sko100c,0.9875888824462892,50076.0,1560.0,161044.0,8.91506945665553
sko100e,1.0636563301086426,50400.0,1860.0,161204.0,8.081796848809923
sko100a,1.3318750858306885,50449.0,1810.0,163494.0,7.560426836488993
sko100b,1.1004300117492676,50782.0,1650.0,164636.0,6.982909870686854
tho150,1.5081393718719482,50084.0,1550.0,9004530.0,10.710554186577369
tai256c,1.6102232933044434,50161.0,680.0,48929250.0,9.316402533069445
