Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,1.8550276756286619,50003.0,4666.0,17937024.0,4.208999155732202
chr20b,2.1592421531677246,50368.0,4940.0,2510.0,9.225413402959095
chr22a,1.4921634197235107,50369.0,3560.0,6726.0,9.25925925925926
nug25,1.3862106800079346,50446.0,3340.0,3772.0,0.7478632478632479
tai30b,1.7513155937194824,50000.0,3896.0,729216227.0,14.455601979725822
kra30b,1.5122389793395996,50166.0,3950.0,93350.0,2.1111354189455263
esc32b,0.6675403118133545,50003.0,1639.0,184.0,9.523809523809524
tai50b,0.8373100757598877,51089.0,1960.0,485056525.0,5.717911437880539
sko56,1.0290365219116209,50440.0,2030.0,37298.0,8.241917696906379
tai60a,1.3874759674072266,50003.0,3255.0,7566988.0,5.010101357736829
sko64,0.928658962249756,50001.0,1942.0,51412.0,6.008495195678172
sko72,1.0626630783081057,50870.0,2110.0,70774.0,6.8190050712388315
lipa90b,1.6917076110839844,50316.0,2960.0,15425343.0,23.497184767135124
sko100d,0.8616633415222168,50000.0,1508.0,162388.0,8.565545274642991
sko100c,1.1813600063323977,50207.0,1710.0,158998.0,7.531346796337125
sko100e,1.241955041885376,50936.0,1750.0,162058.0,8.654374790479384
sko100a,0.9973175525665284,50103.0,1760.0,163862.0,7.8025289140932355
sko100b,0.8894524574279785,50016.0,1360.0,167262.0,8.689323542790305
tho150,1.4519796371459959,50004.0,1667.0,9076832.0,11.599506135074172
tai256c,1.5385141372680664,50780.0,670.0,48948882.0,9.360263814706283
