Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,1.9519734382629397,50408.0,4780.0,17937024.0,4.208999155732202
chr20b,2.2675929069519043,50269.0,5290.0,2686.0,16.88424717145344
chr22a,1.2816288471221924,50213.0,3500.0,6792.0,10.331384015594542
nug25,1.1098220348358154,50000.0,2996.0,3764.0,0.5341880341880342
tai30b,1.3243014812469482,50413.0,3620.0,652255406.0,2.376061275252545
kra30b,1.3173344135284424,50002.0,3327.0,93280.0,2.0345657405381754
esc32b,1.0167160034179688,50179.0,2160.0,200.0,19.047619047619047
tai50b,0.8493633270263672,50003.0,1953.0,488965208.0,6.569807623036999
sko56,0.9828360080718994,50585.0,2430.0,36330.0,5.432700679087585
tai60a,1.6303634643554688,50000.0,3700.0,7606812.0,5.5627548410607774
sko64,0.8187129497528076,50248.0,1930.0,51560.0,6.3136624190688275
sko72,1.0671875476837158,50003.0,2372.0,69888.0,5.481767688964019
lipa90b,1.6683781147003174,50000.0,3299.0,15410369.0,23.377301089689308
sko100d,0.9626569747924804,50241.0,1820.0,160858.0,7.542653901695459
sko100c,1.2050955295562744,50005.0,2016.0,159908.0,8.146785516224588
sko100e,1.0429358482360842,50000.0,1658.0,161474.0,8.262822661749917
sko100a,1.0659360885620115,50003.0,1885.0,165016.0,8.561729450928278
sko100b,1.0703458786010742,50001.0,1794.0,165462.0,7.519656897784132
tho150,1.4591636657714844,50018.0,1700.0,9047020.0,11.232968065745707
tai256c,1.2311956882476809,52191.0,520.0,48947418.0,9.356992985635564
