Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,1.3893859386444092,50264.0,3710.0,17937024.0,4.208999155732202
chr20b,1.6778688430786133,50005.0,4531.0,2584.0,12.445604873803306
chr22a,1.0244684219360352,50004.0,2891.0,6632.0,7.732293697205978
nug25,0.6999812126159668,50764.0,1740.0,3764.0,0.5341880341880342
tai30b,0.427243709564209,53417.0,1080.0,787905754.0,23.66733492528241
kra30b,0.8455488681793213,62243.0,2070.0,93940.0,2.756508422664625
esc32b,0.44376540184021,50536.0,1130.0,200.0,19.047619047619047
tai50b,0.34459376335144043,51186.0,530.0,518968677.0,13.109053906902975
sko56,0.3281407356262207,50275.0,730.0,37526.0,8.903592779615764
tai60a,1.0140199661254885,54125.0,1930.0,7682724.0,6.616215850152971
sko64,0.2321000099182129,50118.0,420.0,52478.0,8.206523980370324
sko72,0.3620014190673828,54065.0,660.0,72724.0,9.762134750060373
lipa90b,0.8547389507293701,50648.0,1520.0,15433565.0,23.56301110585287
sko100d,0.3837335109710693,50049.0,550.0,165794.0,10.842648553243835
sko100c,0.3093688488006592,52305.0,290.0,164522.0,11.267262717939701
sko100e,0.3786563873291016,50003.0,602.0,164400.0,10.224606101240362
sko100a,0.2735204696655273,50329.0,380.0,169738.0,11.668267522795754
sko100b,0.3642454147338867,50611.0,590.0,169250.0,9.981155370719344
tho150,0.4929776191711426,55935.0,380.0,9294202.0,14.272066853238954
tai256c,0.7383794784545898,56444.0,240.0,49910462.0,11.508599755840653
