Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,2.7251694202423096,50021.0,1434.0,18565022.0,7.85748861818715
chr20b,2.7388296127319336,50000.0,1435.0,3182.0,38.46823324630113
chr22a,2.6436455249786377,50018.0,1434.0,7052.0,14.554905782975958
nug25,2.77272891998291,50009.0,1436.0,3884.0,3.7393162393162394
tai30b,2.8231890201568604,50020.0,1435.0,853008628.0,33.88568766948189
kra30b,2.760395050048828,50020.0,1435.0,97450.0,6.5959308685189235
esc32b,3.038302183151245,50032.0,1437.0,208.0,23.80952380952381
tai50b,2.7644951343536377,50009.0,1436.0,501408257.0,9.28176609467947
sko56,2.9797174930572514,50010.0,1435.0,36038.0,4.585292239828196
tai60a,2.9892778396606445,50020.0,1435.0,7643460.0,6.0713337095033255
sko64,3.04352068901062,50032.0,1437.0,50352.0,3.822838055177533
sko72,4.046586751937866,50020.0,1435.0,69318.0,4.621468244385414
lipa90b,4.093171834945679,50022.0,1435.0,15468451.0,23.842312693362867
sko100d,4.481294393539429,50009.0,1436.0,156112.0,4.36968497619939
sko100c,4.851893186569214,50009.0,1436.0,156118.0,5.583584693836144
sko100e,4.1611576080322275,50009.0,1436.0,156258.0,4.765672142138786
sko100a,4.534457921981812,50009.0,1436.0,158654.0,4.376258207128854
sko100b,4.358359098434448,50009.0,1436.0,159656.0,3.7468321528364417
tho150,6.336606740951537,50019.0,1436.0,8645412.0,6.295204046328484
tai256c,13.705559253692627,50032.0,1437.0,45978982.0,2.7249938303316403
