Algorithm,Time,Evaluations,Iterations,Distance to optimum
gga-All-OX,0.5892291069030762,52266.42105263158,1171.7894736842106,11.374141486775647
gga-All-PMX,0.5133977940208033,52449.15789473684,991.5263157894736,12.047563081159993
gga-All-Position,0.4706222007149144,53267.57894736842,894.2631578947369,10.640523382748864
gga-Best-OX,1.2300824617084705,50230.21052631579,2524.7368421052633,8.661561531858785
gga-Best-PMX,1.2575708313992149,50313.0,2458.3684210526317,8.170548571062866
gga-Best-Position,1.1191696367765729,50303.47368421053,2366.0,9.639526941537067
gga-None-OX,4.164378329327232,50016.21052631579,1435.6842105263158,10.796886247466027
gga-None-PMX,4.339420745247288,50016.21052631579,1435.6842105263158,11.555082938706994
gga-None-Position,4.274289444873207,50016.21052631579,1435.6842105263158,10.788177961981553
gga-Random-OX,1.267050065492329,50379.21052631579,2539.842105263158,8.759470558404685
gga-Random-PMX,1.2667266067705656,50321.94736842105,2421.4210526315787,8.569504611961149
gga-Random-Position,1.1088415948968184,50379.57894736842,2346.5789473684213,8.903154199894102
greedy1-2opt,0.0449458172446803,34936.10526315789,0.0,17.875904708649134
greedy1-2optb,0.0397446030064633,26943.78947368421,0.0,12.940985769015208
greedy1-None,0.00022533065394351356,1.0,0.0,58.73591434496865
greedy2-2opt,0.04644144208807694,33690.63157894737,0.0,11.554965100626024
greedy2-2optb,0.05792901390477231,28801.736842105263,0.0,7.937706116303889
greedy2-None,0.006770234358938117,1.0,0.0,32.73712136251647
sga-None-OX,4.090792894363403,50000.0,24975.0,11.454785005446515
sga-None-PMX,4.43870735168457,50000.0,24975.0,9.25950999687345
sga-None-Position,3.974225270120721,50000.0,24975.0,9.643714738008736
