Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,1.5630908012390137,50470.0,3260.0,17937024.0,4.208999155732202
chr20b,1.665140151977539,50087.0,3990.0,2510.0,9.225413402959095
chr22a,1.0668168067932131,50060.0,2930.0,6764.0,9.876543209876543
nug25,0.6996049880981445,50741.0,1740.0,3758.0,0.37393162393162394
tai30b,0.7926969528198242,50386.0,2020.0,704660586.0,10.601421877048216
kra30b,0.459500789642334,50680.0,860.0,94790.0,3.6862830890395974
esc32b,0.1281723976135254,51973.0,260.0,236.0,40.476190476190474
tai50b,0.2743680477142334,61274.0,540.0,513094073.0,11.828685880919574
sko56,0.26904726028442383,58205.0,520.0,38378.0,11.376168088687677
tai60a,0.6215617656707764,50139.0,1340.0,7684884.0,6.6461910290395645
sko64,0.3723812103271485,52271.0,590.0,53432.0,10.1736154068209
sko72,0.2827842235565185,50114.0,530.0,72002.0,8.672422120260807
lipa90b,0.6356668472290039,50003.0,1129.0,15526129.0,24.304089823569882
sko100d,0.2486946582794189,53873.0,320.0,166996.0,11.64625340963791
sko100c,0.3726730346679688,50235.0,530.0,163548.0,10.608540395774439
sko100e,0.2331812381744385,51948.0,330.0,166332.0,11.519946362722091
sko100a,0.30857133865356445,52866.0,380.0,167530.0,10.2156550571703
sko100b,0.25562024116516113,53306.0,310.0,171814.0,11.64728052505036
tho150,0.35374903678894043,52787.0,290.0,9322404.0,14.618809997986082
tai256c,0.7143270969390869,55586.0,230.0,49864654.0,11.4062567653547
