Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,0.0004677772521972656,1011.0,0.0,24270016.0,41.00187839708566
chr20b,0.0005121231079101561,1144.0,0.0,3488.0,51.784160139251526
chr22a,0.0006058216094970702,1315.0,0.0,7218.0,17.251461988304094
nug25,0.0007812976837158202,1737.0,0.0,3844.0,2.6709401709401708
tai30b,0.0015397071838378904,3316.0,0.0,781344595.0,22.6375149963991
kra30b,0.0015289783477783205,3318.0,0.0,97450.0,6.5959308685189235
esc32b,0.0018284320831298828,2991.0,0.0,200.0,19.047619047619047
tai50b,0.00962972640991211,15526.0,0.0,493725817.0,7.607380802064695
sko56,0.029514074325561523,22181.0,0.0,35282.0,2.391316965581287
tai60a,0.01513552665710449,20882.0,0.0,7476294.0,3.7515046568383235
sko64,0.025733470916748047,21158.0,0.0,50076.0,3.2537424223679325
sko72,0.018301725387573242,21412.0,0.0,67432.0,1.7749335909200676
lipa90b,0.03481578826904297,33426.0,0.0,12490441.0,0.0
sko100d,0.06021881103515625,50001.0,0.0,152942.0,2.25036102048457
sko100c,0.07108092308044434,59901.0,0.0,150878.0,2.0397397573413047
sko100e,0.0661478042602539,56611.0,0.0,152328.0,2.130740864901106
sko100a,0.0514366626739502,43919.0,0.0,155198.0,2.1026039131064067
sko100b,0.06097054481506348,51210.0,0.0,156410.0,1.6375333030086425
tho150,0.09423542022705078,50153.0,0.0,8409064.0,3.389309117788162
tai256c,0.21113061904907227,51731.0,0.0,86636956.0,93.56193598585358
