Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,0.0005881786346435548,1.0,0.0,54290330.0,215.41134990589424
chr20b,0.0006194114685058594,1.0,0.0,3448.0,50.043516100957355
chr22a,0.0006692409515380858,1.0,0.0,9014.0,46.42625081221573
nug25,0.0007483959197998048,1.0,0.0,5234.0,39.797008547008545
tai30b,0.0009253025054931641,1.0,0.0,1337212692.0,109.88491200675064
kra30b,0.0009372234344482422,1.0,0.0,138340.0,51.32356158389849
esc32b,0.0010166168212890623,1.0,0.0,216.0,28.571428571428573
tai50b,0.0020868778228759766,1.0,0.0,800289059.0,74.42273942004337
sko56,0.0025157928466796875,1.0,0.0,43188.0,25.335190666898832
tai60a,0.0028176307678222656,1.0,0.0,7966254.0,10.550874400947437
sko64,0.003484487533569336,1.0,0.0,60048.0,23.815415068662624
sko72,0.003853321075439453,1.0,0.0,79426.0,19.87744506157933
lipa90b,0.00600743293762207,1.0,0.0,15622809.0,25.078121741257974
sko100d,0.007466793060302734,1.0,0.0,178830.0,19.557950473337968
sko100c,0.007706165313720703,1.0,0.0,174924.0,18.302200700653312
sko100e,0.007556438446044922,1.0,0.0,178662.0,19.78679182031512
sko100a,0.007367610931396484,1.0,0.0,181406.0,19.344482309443297
sko100b,0.007361650466918945,1.0,0.0,183084.0,18.970693352394566
tho150,0.015550374984741213,1.0,0.0,9799674.0,20.486837112852463
tai256c,0.04994368553161621,1.0,0.0,44951708.0,0.4298861371674004
