Time,Evaluations,Iterations,Objective value,Local search applications,Greedy solutions
100.02009510993958,44550724.0,2237.0,154476,2237.0,1033.0
100.0220582485199,44861232.0,2249.0,153588,2249.0,970.0
100.00617408752441,48761757.0,2453.0,153380,2453.0,103.0
100.00598645210266,55471916.0,2785.0,153256,2785.0,740.0
100.00431656837463,37645551.0,1856.0,153028,1856.0,3857.0
100.00504922866821,52316883.0,2631.0,153304,2631.0,669.0
100.03895998001099,42793737.0,2151.0,154402,2151.0,212.0
100.03158330917358,32452102.0,1570.0,153058,1570.0,3343.0
100.02429628372192,40267973.0,1990.0,153494,1990.0,3899.0
100.01643872261047,35502577.0,1779.0,153738,1779.0,693.0
100.08723616600037,30914993.0,1477.0,153252,1477.0,2937.0
100.0249719619751,42147162.0,2102.0,153882,2102.0,1744.0
100.01125979423523,42558770.0,2100.0,154470,2100.0,1953.0
100.06404280662537,36185326.0,1802.0,153350,1802.0,2519.0
100.00072574615479,38266433.0,1880.0,153766,1880.0,3053.0
100.01828670501709,33200923.0,1616.0,153400,1616.0,3123.0
100.01362609863281,29401623.0,1454.0,154610,1454.0,2808.0
100.07594299316406,33605456.0,1666.0,155332,1666.0,3050.0
100.03227066993713,40278300.0,2001.0,153390,2001.0,1830.0
100.03184866905212,53933363.0,2706.0,153418,2706.0,1403.0
100.00420045852661,34603281.0,1690.0,153644,1690.0,2786.0
100.00517177581787,32578128.0,1593.0,153944,1593.0,3272.0
100.02725958824158,51184714.0,2575.0,153944,2575.0,234.0
100.03104639053345,34386056.0,1710.0,153944,1710.0,3262.0
100.03993892669678,30449749.0,1529.0,153380,1529.0,1968.0
100.09918737411499,34705045.0,1710.0,153690,1710.0,3439.0
100.03816604614258,44300405.0,2229.0,153156,2229.0,1292.0
100.01131653785706,52240285.0,2631.0,155068,2631.0,67.0
100.00992178916931,52077635.0,2618.0,154754,2618.0,153.0
100.08250164985657,35899533.0,1778.0,154442,1778.0,3436.0
