Time,Objective value
0.6475343704223633,8839024
0.6477806568145752,8839024
0.6633684635162354,8839024
0.6790261268615723,8839024
0.6930751800537109,8836224
0.7071373462677002,8835042
0.7188308238983154,8810976
0.7491025924682617,8810976
0.7612888813018799,8810976
0.7703061103820801,8810976
0.7769913673400879,8810976
0.8029944896697998,8804496
0.8294732570648193,8804496
0.8744463920593262,8802788
0.8995213508605957,8798072
0.9035909175872803,8790502
0.9269757270812988,8787576
0.9909029006958008,8787576
1.0760109424591064,8781990
1.1431045532226562,8781866
1.1685423851013184,8780054
1.2727794647216797,8776660
1.3389620780944824,8776660
1.4057018756866455,8767216
1.4115831851959229,8767216
1.4355673789978027,8763170
1.4596147537231445,8755516
1.503568410873413,8755516
1.5283243656158447,8755516
1.592341423034668,8751600
1.6378116607666016,8751600
1.682192087173462,8746606
1.707263469696045,8745978
1.7520365715026855,8742560
1.7568137645721436,8739204
1.7800350189208984,8738756
1.8039865493774414,8732324
1.8479063510894775,8732324
1.8522424697875977,8729850
1.996060848236084,8729432
2.0642521381378174,8729432
2.110584259033203,8729064
2.215466022491455,8729064
2.382145881652832,8729064
2.4318625926971436,8725492
2.497480869293213,8723984
2.5825412273406982,8723938
2.649150848388672,8721138
2.695509672164917,8720308
2.7403721809387207,8715330
2.7651212215423584,8713820
2.789038896560669,8713730
2.8331527709960938,8708376
2.8778915405273438,8703616
2.9025979042053223,8703010
2.9065866470336914,8703010
2.9497909545898438,8698984
2.9744908809661865,8698984
3.058357000350952,8697850
3.124208927154541,8697562
3.210540294647217,8693262
3.2763173580169678,8689524
3.3425486087799072,8689524
3.3676114082336426,8684926
3.372265338897705,8681964
3.4753832817077637,8681112
3.4822516441345215,8680156
3.6053991317749023,8678864
3.6332054138183594,8676518
3.717108726501465,8675258
3.743342876434326,8674400
3.8274283409118652,8672308
3.853646755218506,8669752
3.9176950454711914,8668998
4.00307822227478,8659580
4.069082975387573,8659042
4.135272741317749,8656998
4.1806440353393555,8656998
4.305065870285034,8656998
4.413520812988281,8654920
4.460072994232178,8654920
4.505527496337891,8654920
4.590012788772583,8648978
4.615900278091431,8647412
4.640572786331177,8647412
4.724629878997803,8646892
4.730402708053589,8643484
4.774212598800659,8642300
4.818875789642334,8642300
4.943563938140869,8641206
5.0113561153411865,8641206
5.016775608062744,8641206
5.079914808273315,8641206
5.165328025817871,8640986
5.17110276222229,8640986
5.235153675079346,8640930
5.260238885879517,8639998
5.344952344894409,8636234
5.371079683303833,8636234
5.4552223682403564,8635424
5.501555681228638,8635424
5.526312351226807,8632792
5.570251703262329,8632452
5.615112781524658,8631548
5.659884691238403,8630828
5.684769868850708,8629824
5.748761415481567,8629824
5.894172191619873,8629824
5.962310791015625,8629824
6.048686742782593,8629824
6.13504433631897,8629824
6.261012315750122,8628374
6.288716077804565,8620588
6.314164876937866,8619524
6.358092308044434,8619524
6.4029860496521,8618728
6.40776252746582,8618156
6.410964488983154,8614412
6.474106073379517,8609932
6.519628286361694,8608136
6.544107913970947,8605036
6.5689616203308105,8600968
6.573131799697876,8600684
6.576530456542969,8596782
6.6199212074279785,8596782
6.664665460586548,8595634
6.7495574951171875,8595634
6.895915746688843,8595634
7.043848752975464,8595634
7.0731141567230225,8594994
7.198619365692139,8593554
7.285569429397583,8593554
7.353297233581543,8593554
7.558507919311523,8593554
7.60896110534668,8593554
7.694511890411377,8593554
7.760264873504639,8593554
7.886541843414307,8593554
7.994350910186768,8593554
8.081182479858398,8593554
8.227811098098755,8593554
8.297286748886108,8593192
8.362658262252808,8592900
8.508366346359253,8592596
8.61658525466919,8592596
