Time,Evaluations,Iterations,Objective value
0.1890718936920166,50324.0,124.0,154530
0.08922648429870605,50125.0,123.0,154464
0.1536862850189209,50159.0,124.0,153274
0.09031534194946289,50775.0,126.0,154330
0.09069323539733887,50157.0,123.0,154208
0.1886904239654541,50570.0,123.0,153392
0.0901799201965332,50018.0,125.0,154792
0.09035754203796387,50457.0,123.0,153400
0.1040656566619873,50947.0,124.0,154010
0.16237926483154297,50200.0,126.0,153896
0.1193549633026123,50238.0,123.0,153896
0.09031963348388672,50932.0,124.0,153616
0.09057950973510742,50884.0,123.0,154690
0.09050369262695312,50583.0,125.0,154794
0.18244504928588867,50678.0,125.0,153810
0.0903019905090332,50386.0,126.0,154340
0.08962464332580566,50078.0,125.0,154250
0.09053874015808105,50263.0,123.0,154226
0.18979859352111816,50599.0,124.0,154688
0.18271732330322266,50267.0,123.0,153944
0.09184718132019043,50628.0,124.0,154484
0.187453031539917,50071.0,122.0,154100
0.13018417358398438,50795.0,125.0,154532
0.12175178527832031,50199.0,123.0,154246
0.0896461009979248,50631.0,123.0,153714
0.08979201316833496,50188.0,124.0,153674
0.13366031646728516,50144.0,123.0,154154
0.09166073799133301,50405.0,123.0,154028
0.10840296745300293,50116.0,123.0,153774
0.0900273323059082,50780.0,124.0,154278
