Time,Objective value
0.0006952285766601562,9880568
0.0011835098266601562,9740874
0.0037424564361572266,8856344
0.008406877517700195,8603492
0.01299142837524414,8522486
0.01756429672241211,8492882
0.02216315269470215,8455476
0.026769638061523438,8427622
0.03140425682067871,8395974
0.03600764274597168,8379416
0.040625572204589844,8370684
0.04520916938781738,8361900
0.04980921745300293,8356000
0.054392337799072266,8349498
0.05900311470031738,8344710
0.06354928016662598,8340654
0.0681004524230957,8336696
0.07261466979980469,8335978
0.0771338939666748,8335222
0.08164072036743164,8334122
0.08615303039550781,8330622
0.09065937995910645,8329184
0.09517526626586914,8328810
0.0996856689453125,8328810
0.10416054725646973,8326772
0.1085062026977539,8326080
0.11283016204833984,8324102
0.11716437339782715,8323798
0.12170577049255371,8322622
0.12624764442443848,8320908
0.13077259063720703,8320708
0.1353006362915039,8320372
0.1398615837097168,8320112
0.14435887336730957,8319900
0.14887166023254395,8319414
0.15329384803771973,8318502
0.15330123901367188,8318502
