Time,Objective value
0.0015492439270019531,172742
0.0016248226165771484,172742
0.005496025085449219,170724
0.009305953979492188,170436
0.01311182975769043,169158
0.01686573028564453,168930
0.020452260971069336,168158
0.023695707321166992,166252
0.027046918869018555,166012
0.030277729034423828,165896
0.03354597091674805,165782
0.043398380279541016,162044
0.053215742111206055,161878
0.05599570274353027,161688
0.059065818786621094,161526
0.06221127510070801,161458
0.0648493766784668,161034
0.0668952465057373,160970
0.06890320777893066,160758
0.07117700576782227,160204
0.07285284996032715,160204
0.07425737380981445,160132
0.08274173736572266,159906
0.08440613746643066,159758
0.08576536178588867,159626
0.09419751167297363,159344
0.09587407112121582,159324
0.10427999496459961,158956
0.11301970481872559,158850
0.11469149589538574,158850
0.12307429313659668,158850
0.14586567878723145,158850
0.1552414894104004,158850
0.1569061279296875,158846
0.16526436805725098,158810
0.1810150146484375,158810
0.2181532382965088,158810
0.2277696132659912,158800
0.24393391609191895,158688
0.26025962829589844,158688
0.26210784912109375,158688
0.27756547927856445,158674
0.29358959197998047,158660
0.2952868938446045,158646
0.3039820194244385,158544
0.3196732997894287,158544
0.3215165138244629,158342
0.3227498531341553,158342
0.3450930118560791,158342
0.34714484214782715,158300
0.3698735237121582,158188
0.37209033966064453,158188
0.38050031661987305,158124
0.3963308334350586,158090
0.39830732345581055,158058
0.39968013763427734,158058
0.4080810546875,158050
0.41678452491760254,157998
0.44652748107910156,157968
0.4631526470184326,157926
0.47919130325317383,157864
0.48116302490234375,157848
0.4966137409210205,157846
0.5126082897186279,157696
0.5286452770233154,157696
0.5305583477020264,157684
0.5671103000640869,157594
0.5699265003204346,157594
0.5783493518829346,157578
0.5799477100372314,157518
0.5953233242034912,157518
0.6112344264984131,157456
0.6131381988525391,157456
0.614450216293335,157412
0.6298272609710693,157392
0.6317672729492188,157382
0.6330819129943848,157342
0.6414859294891357,157342
0.6571674346923828,157342
0.6661274433135986,157306
0.6958661079406738,157306
0.7125070095062256,157060
0.7355282306671143,157046
0.7516555786132812,157046
0.7749526500701904,157046
0.7980897426605225,157046
0.807567834854126,157046
0.8375034332275391,157046
0.8540501594543457,157046
0.8565568923950195,157046
0.8789739608764648,156972
0.8952252864837646,156972
0.9182405471801758,156972
0.9343767166137695,156960
0.9575326442718506,156826
0.9600858688354492,156826
0.968425989151001,156714
0.9700198173522949,156648
0.9853963851928711,156630
0.9943618774414062,156562
1.010080337524414,156538
1.019045352935791,156508
1.0206341743469238,156508
1.04298734664917,156508
1.0451526641845703,156508
1.0815861225128174,156506
1.0911588668823242,156506
1.1003458499908447,156506
1.116044282913208,156380
1.1460955142974854,156366
1.162553310394287,156352
1.164665937423706,156252
1.166337490081787,156186
1.1676912307739258,156164
1.1690175533294678,156118
1.170325517654419,156118
1.1857430934906006,156030
1.187464952468872,156030
1.210240125656128,155982
1.219517469406128,155982
1.235177993774414,155982
1.244121789932251,155982
1.273883581161499,155982
1.2975070476531982,155962
1.3137035369873047,155936
1.32297682762146,155894
1.331597089767456,155856
1.3402576446533203,155856
1.3418693542480469,155848
1.357201099395752,155808
1.3590805530548096,155808
1.3885536193847656,155808
1.418954610824585,155808
1.4218060970306396,155808
1.4377899169921875,155808
1.4608049392700195,155808
1.4771454334259033,155738
1.4860713481903076,155738
1.494696855545044,155714
1.510420322418213,155606
1.5334370136260986,155584
1.535510778427124,155496
1.544203758239746,155496
1.5528945922851562,155364
1.5616135597229004,155364
1.6054470539093018,155332
1.6082611083984375,155274
1.6170425415039062,155206
