Time,Evaluations,Iterations,Objective value,Local search applications,Greedy solutions,Reemplacements in GADEGD
655.6032099723816,93959690.0,460.0,44857632,461.0,461.0,0.0
657.375081539154,88448488.0,436.0,44879176,437.0,437.0,0.0
656.1713933944702,85462502.0,419.0,44871516,420.0,420.0,0.0
655.4918777942657,82933214.0,402.0,44850712,403.0,403.0,0.0
656.4210176467896,87000917.0,429.0,44865406,430.0,430.0,0.0
657.1367444992065,92864235.0,453.0,44846414,454.0,454.0,0.0
655.6226692199707,92196547.0,457.0,44878758,458.0,458.0,0.0
655.9367320537567,87794138.0,426.0,44873552,427.0,427.0,0.0
655.8464744091034,93838047.0,457.0,44881118,458.0,458.0,0.0
655.7969441413879,83080557.0,407.0,44873956,408.0,408.0,0.0
655.7335200309753,90856869.0,443.0,44856448,444.0,444.0,0.0
656.9879250526428,88233868.0,436.0,44869728,437.0,437.0,0.0
656.0187790393829,90021436.0,439.0,44853750,440.0,440.0,0.0
656.562762260437,91892802.0,454.0,44868062,455.0,455.0,0.0
656.4465658664703,87406542.0,432.0,44874430,433.0,433.0,0.0
656.2541613578796,88049125.0,426.0,44872240,427.0,427.0,0.0
655.5706114768982,85275983.0,415.0,44877824,416.0,416.0,0.0
657.1742498874664,82477878.0,400.0,44875038,401.0,401.0,0.0
656.0486352443695,87987577.0,425.0,44883992,426.0,426.0,0.0
655.3762154579163,88898759.0,434.0,44866394,435.0,435.0,0.0
655.9731688499451,83596937.0,411.0,44879806,412.0,412.0,0.0
656.1424531936646,94560522.0,465.0,44886234,466.0,466.0,0.0
656.2979192733765,91690969.0,452.0,44847612,453.0,453.0,0.0
656.679074048996,90197027.0,437.0,44856652,438.0,438.0,0.0
655.8525023460388,85532148.0,410.0,44861260,411.0,411.0,0.0
655.9182033538818,92871943.0,446.0,44871510,447.0,447.0,0.0
655.7954926490784,88504909.0,443.0,44884936,444.0,444.0,0.0
655.6907305717468,91703844.0,454.0,44862496,455.0,455.0,0.0
656.177871465683,86040502.0,422.0,44867140,423.0,423.0,0.0
655.8273415565491,82739964.0,402.0,44878176,403.0,403.0,0.0
