Time,Evaluations,Iterations,Objective value,Local search applications,Greedy solutions,Reemplacements in GADEGD
6.251483678817749,6515268.0,3547.0,3746,3548.0,3548.0,0.0
6.250131607055664,5791926.0,3160.0,3748,3161.0,3161.0,0.0
6.251157760620117,8355105.0,4555.0,3746,4556.0,4556.0,0.0
6.250431537628174,7229738.0,3943.0,3746,3944.0,3944.0,0.0
6.250734567642212,5493274.0,3003.0,3746,3004.0,3004.0,0.0
6.252361059188843,6428407.0,3493.0,3746,3494.0,3494.0,0.0
6.250709772109985,8147349.0,4424.0,3750,4425.0,4425.0,0.0
6.25017237663269,7629324.0,4137.0,3744,4138.0,4138.0,0.0
6.250544309616089,8104635.0,4411.0,3746,4412.0,4412.0,0.0
6.250967025756836,7551514.0,4126.0,3746,4127.0,4127.0,0.0
6.2508039474487305,6876387.0,3748.0,3746,3749.0,3749.0,0.0
6.250350713729858,7901244.0,4311.0,3746,4312.0,4312.0,0.0
6.251112461090088,7934123.0,4341.0,3750,4342.0,4342.0,0.0
6.250836133956909,6050318.0,3288.0,3750,3289.0,3289.0,0.0
6.251008749008179,8167985.0,4443.0,3746,4444.0,4444.0,0.0
6.250396966934204,6421613.0,3496.0,3746,3497.0,3497.0,0.0
6.25067663192749,8148432.0,4409.0,3746,4410.0,4410.0,0.0
6.25107479095459,8159964.0,4429.0,3746,4430.0,4430.0,0.0
6.250738620758057,6842277.0,3722.0,3746,3723.0,3723.0,0.0
6.250993490219116,7714866.0,4188.0,3750,4189.0,4189.0,0.0
6.252182483673096,6729915.0,3644.0,3746,3645.0,3645.0,0.0
6.250288963317871,8102379.0,4407.0,3746,4408.0,4408.0,0.0
6.250507593154907,6238686.0,3409.0,3746,3410.0,3410.0,0.0
6.250040531158447,7867128.0,4300.0,3744,4301.0,4301.0,0.0
6.251239776611328,8175086.0,4436.0,3748,4437.0,4437.0,0.0
6.251204013824463,8134961.0,4461.0,3746,4462.0,4462.0,0.0
6.250160455703735,6715157.0,3666.0,3746,3667.0,3667.0,0.0
6.251314401626587,4942536.0,2680.0,3748,2681.0,2681.0,0.0
6.2504472732543945,6380259.0,3466.0,3748,3467.0,3467.0,0.0
6.250195264816284,8265385.0,4508.0,3746,4509.0,4509.0,0.0
