Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best)
els19,0.031038665771484376,50105.13333333333,265.06666666666666,22447139.4,30.411484691284514,4.208999155732202
chr20b,0.03407437801361084,50066.666666666664,251.33333333333334,3349.266666666667,45.747026399767925,23.237597911227155
chr22a,0.0308591365814209,50150.9,229.0,6994.0,13.612735542560104,7.309941520467836
nug25,0.03790365060170491,50163.53333333333,201.9,3868.6,3.3279914529914505,0.2670940170940171
tai30b,0.041672317186991374,50211.46666666667,168.8,727444924.8333334,14.177583679710919,0.5892635629142173
kra30b,0.03619470596313477,50128.7,168.36666666666667,95622.0,4.596368409538394,1.312623058411726
esc32b,0.047768481572469074,50119.26666666667,158.26666666666668,191.46666666666667,13.96825396825397,0.0
tai50b,0.06834790706634522,50264.73333333333,102.0,489970007.73333335,6.788803397233297,1.2939168674602504
sko56,0.06941648324330647,50270.333333333336,91.0,35312.666666666664,2.4803141989281565,1.4278251784781473
tai60a,0.07515753110249837,50441.7,85.0,7526994.133333334,4.4550905671350165,3.5591084160588133
sko64,0.08521182537078857,50404.5,80.0,49608.26666666667,2.2893040262828777,1.3897480308466328
sko72,0.0892937421798706,50196.066666666666,71.0,67657.2,2.1148273363921715,0.854262255493842
lipa90b,0.11343943277994792,50469.23333333333,57.0,15218292.566666666,21.839513646208857,21.28766310172715
sko100d,0.12414948145548503,50654.76666666667,51.93333333333333,152415.86666666667,1.8986111853951628,1.129860405412633
sko100c,0.13575576941172282,50691.6,51.93333333333333,150864.86666666667,2.0308576014572157,1.114552758653339
sko100e,0.13187255859375,50742.666666666664,52.0,152065.0,1.9544083137780757,1.2309755279919543
sko100a,0.1345356305440267,50692.5,51.93333333333333,154927.46666666667,1.92462379880967,0.8263049170405653
sko100b,0.1314036766688029,50680.96666666667,51.9,156499.86666666667,1.6959299932852483,1.1423744232893625
tho150,0.20955897172292073,50604.6,35.0,8332641.4,2.449694457347352,1.512184698203629
tai256c,0.3859086592992147,50273.53333333333,106.36666666666666,45094753.266666666,0.7494739900648694,0.46399302008650983
