Algorithm,Time,Evaluations,Iterations,Distance to optimum (Avg),Distance to optimum (Best)
ILS-ES,2.3484690180996006,1259802.2315789473,24.0,3.494254467494044,2.198699355422091
ILS-ES (propuesta),2.3490540040166756,1257908.0771929824,24.0,3.6904718958360347,3.0709087593258575
GRASP (Parejas),27.022123381966036,691129.1421052631,24.0,4.305095884170451,2.588047502095457
GRASP (Penalización Futura),1.8780899687817225,687535.3807017542,24.0,4.620266846364442,2.595787735710542
ES (propuesta),0.09623879633451762,50301.02982456141,166.53508771929828,6.017819779218546,3.738196953319879
ILS,1.7420493355968543,777491.6070175439,24.0,6.274142888195004,3.834604656848839
ES,0.09738429387410481,50380.407017543854,108.6701754385965,7.7948111560600415,3.6815415616240927
BMB,1.8420823293819764,870574.0877192983,24.0,7.827907005542872,5.5075057965416505
Greedy Adaptativo + 2OPTB,0.05792901390477231,28801.736842105263,0.0,7.937706116303889,7.937706116303889
Greedy Aleatorizado (Penalización Futura),0.012218767299986721,1.0,0.0,26.37157256816669,17.91683491727797
Greedy Aleatorizado (Parejas),1.0016162408025642,1.0,0.0,42.873613285618546,29.742588509468312

