Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best)
els19,0.03245863119761149,32608.266666666666,24.0,17943114.4,4.244382644568361,4.208999155732202
chr20b,0.024157349268595377,24112.933333333334,24.0,2750.9333333333334,19.70989266028431,11.14012184508268
chr22a,0.03209147453308105,33379.4,24.0,6562.266666666666,6.599523500108291,2.566601689408707
nug25,0.04923245906829834,51823.166666666664,24.0,3769.8,0.689102564102569,0.0
tai30b,0.08273747762044271,84612.6,24.0,685065798.8333334,7.525882581862682,1.715913884108776
kra30b,0.07336141268412272,77638.93333333333,24.0,93438.66666666667,2.208123678261509,0.9078976154014439
esc32b,0.07384649912516277,69264.9,24.0,188.93333333333334,12.460317460317464,0.0
tai50b,0.36099383036295574,320978.0,24.0,463380692.7,0.9936708569838036,0.562553390450518
sko56,0.5147473176320394,388378.43333333335,24.0,34963.2,1.4661326832665769,0.992512624064078
tai60a,0.5598064502080281,414679.9666666667,24.0,7451245.266666667,3.4038934241766277,2.5125028413971653
sko64,0.8265954573949178,545097.6666666666,24.0,49152.53333333333,1.349608918580834,1.0515897562786094
sko72,1.1597804069519042,728322.8666666667,24.0,67085.6,1.2521130161796756,0.6912581502052644
lipa90b,2.1015224774678547,1039909.3,24.0,15134478.0,21.16848396305623,20.855028257208854
sko100d,2.9538896083831787,1349281.1,24.0,151319.0,1.165293897416698,0.7781997111836123
sko100c,3.0140413204828898,1345624.0333333334,24.0,149681.33333333334,1.2304265689178715,0.7615208775750362
sko100e,2.878726569811503,1344285.6333333333,24.0,151169.33333333334,1.3538942898647959,0.8541736506872276
sko100a,2.9901369253794354,1352551.7666666666,24.0,153695.6,1.1141958658438742,0.7723582584439679
sko100b,3.2011722326278687,1342601.5,24.0,155596.93333333332,1.10919054736066,0.7433881343817013
tho150,4.680639839172363,1260670.2,24.0,8334184.533333333,2.4686672573177066,2.0127135054745877
tai256c,10.997829429308574,1289959.8333333333,24.0,44990545.733333334,0.516656347022217,0.40163278714807255
