Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best)
els19,0.6880967537562053,1252425.5666666667,24.0,17918038.666666668,4.098699778014667,0.0
chr20b,0.6101381699244182,1252617.9,24.0,2539.6,10.513489991296776,5.831157528285465
chr22a,0.7191813151041667,1252776.1,24.0,6233.266666666666,1.2551440329218067,0.0
nug25,0.7603481610616049,1253154.3666666667,24.0,3744.0,0.0,0.0
tai30b,0.8361858685811361,1253792.7,24.0,638703130.3666667,0.24893655095820266,0.041082399869551145
kra30b,0.8704623858133952,1253807.8666666667,24.0,91487.33333333333,0.07365273827754154,0.0
esc32b,0.9289299408594768,1254072.7,24.0,168.53333333333333,0.31746031746031633,0.0
tai50b,1.3570459206899008,1255871.5666666667,24.0,463473575.53333336,1.013914640218009,0.5270404526385801
sko56,1.5978093942006428,1256973.7,24.0,35006.8,1.5926635324162832,1.27691682628127
tai60a,1.7088971217473348,1257587.8666666667,24.0,7476487.733333333,3.754193171339696,3.2016821626314433
sko64,1.846083116531372,1257910.8333333333,24.0,49563.8,2.197616396552441,1.5340838797476184
sko72,2.078825561205546,1259216.3,24.0,67929.13333333333,2.5252555743379186,2.097923206954842
lipa90b,2.613754423459371,1260564.9666666666,24.0,15458393.0,23.7617871138417,23.515318634466148
sko100d,2.9078415314356487,1262399.3666666667,24.0,154795.86666666667,3.4897755433135456,3.1569235706263035
sko100c,2.840735753377279,1261826.1,24.0,152864.86666666667,3.3834701726384524,2.9743950440275393
sko100e,2.9626985947291056,1262067.8333333333,24.0,154490.86666666667,3.5808693708794292,2.9835735836406303
sko100a,2.9291631539662677,1261733.7,24.0,157239.93333333332,3.4459634303057327,3.146011236694254
sko100b,2.9321328004201255,1261977.0666666667,24.0,159179.26666666666,3.4370437758572114,3.017739944115927
tho150,4.7359554449717205,1265680.2666666666,24.0,8545782.533333333,5.070261326610762,4.695454470566914
tai256c,9.395837418238322,1256222.2666666666,24.0,44964053.6,0.4574683416588329,0.3479634866448072
