Time,Evaluations,Iterations,Objective value,Local search applications,Greedy solutions,Reemplacements in GADEGD
52.236655473709106,31123872.0,31.0,66412,1284.0,32.0,17.0
53.14014220237732,38916639.0,35.0,66574,1580.0,36.0,21.0
51.960402965545654,38475577.0,35.0,66664,1600.0,36.0,21.0
53.28219938278198,37408280.0,34.0,66590,1513.0,35.0,20.0
52.03124141693115,41969971.0,37.0,66536,1713.0,38.0,23.0
52.543912172317505,32403966.0,32.0,66346,1345.0,33.0,18.0
53.0526659488678,40011820.0,36.0,66574,1643.0,37.0,22.0
52.39739656448364,45740188.0,40.0,66504,1896.0,41.0,26.0
52.7713086605072,36501068.0,34.0,66642,1499.0,35.0,20.0
52.48537850379944,42280374.0,38.0,66378,1775.0,39.0,24.0
52.09963941574097,42542862.0,38.0,66474,1776.0,39.0,24.0
52.21010732650757,39371215.0,36.0,66548,1628.0,37.0,22.0
52.222217082977295,41475810.0,37.0,66260,1698.0,38.0,23.0
52.154011726379395,37331021.0,35.0,66502,1554.0,36.0,21.0
54.31520080566406,35684963.0,34.0,66526,1470.0,35.0,20.0
53.63381862640381,43685059.0,38.0,66484,1797.0,39.0,24.0
53.59679627418518,38519304.0,35.0,66646,1570.0,36.0,21.0
52.01540923118591,38879978.0,36.0,66604,1617.0,37.0,22.0
52.49395537376404,34642404.0,33.0,66484,1406.0,34.0,19.0
53.6344838142395,34801965.0,33.0,66636,1402.0,34.0,19.0
53.3570659160614,46298196.0,40.0,66514,1933.0,41.0,26.0
53.6995849609375,40943346.0,37.0,66406,1709.0,38.0,23.0
53.29557013511658,45277965.0,39.0,66288,1851.0,40.0,25.0
54.69734215736389,32926865.0,32.0,66480,1339.0,33.0,18.0
51.889890909194946,38497745.0,35.0,66424,1601.0,36.0,21.0
53.91220688819885,44555406.0,38.0,66538,1830.0,39.0,24.0
51.85183095932007,34635847.0,33.0,66672,1425.0,34.0,19.0
53.142969369888306,38101940.0,35.0,66454,1570.0,36.0,21.0
55.03202843666077,45148624.0,39.0,66600,1857.0,40.0,25.0
53.25219178199768,32992048.0,32.0,66466,1340.0,33.0,18.0
