Time,Evaluations,Iterations,Objective value
2.3137223720550537,1381039.0,24.0,153698
2.2559094429016113,1341821.0,24.0,153382
4.272620916366577,1377373.0,24.0,153770
4.536271095275879,1353839.0,24.0,153656
2.265509843826294,1348696.0,24.0,153892
4.593043088912964,1347485.0,24.0,153882
3.78816819190979,1345663.0,24.0,153816
4.552875995635986,1359575.0,24.0,153868
2.2829337120056152,1363056.0,24.0,153942
3.1481056213378906,1322553.0,24.0,153604
2.3002586364746094,1374295.0,24.0,153788
2.2380435466766357,1331716.0,24.0,153382
3.7336559295654297,1373064.0,24.0,153476
2.277778148651123,1356740.0,24.0,153950
2.276017904281616,1360878.0,24.0,154172
2.2868475914001465,1367531.0,24.0,153396
3.2927560806274414,1375876.0,24.0,153708
2.736475706100464,1313779.0,24.0,154256
2.2901175022125244,1345083.0,24.0,153520
2.2430756092071533,1338789.0,24.0,154016
2.2472245693206787,1342473.0,24.0,153976
3.0845208168029785,1352901.0,24.0,153400
2.7162082195281982,1321549.0,24.0,153480
2.899763584136963,1424476.0,24.0,153902
4.291159152984619,1368598.0,24.0,153474
2.2211713790893555,1324491.0,24.0,153176
3.3965182304382324,1322792.0,24.0,153670
4.16198468208313,1346410.0,24.0,153804
2.7488925457000732,1360984.0,24.0,153322
2.4534831047058105,1333028.0,24.0,153490
