Time,Evaluations,Iterations,Objective value
1.922964334487915,1250025.0,24.0,161504
3.1216845512390137,1250025.0,24.0,160520
3.213094472885132,1250025.0,24.0,161674
3.3495187759399414,1250025.0,24.0,160730
3.6051151752471924,1250025.0,24.0,161004
3.3241453170776367,1250025.0,24.0,161588
4.071884393692017,1250025.0,24.0,162430
2.8853423595428467,1250025.0,24.0,161044
2.4180376529693604,1250025.0,24.0,162198
1.9452745914459229,1250025.0,24.0,161724
1.9424421787261963,1250025.0,24.0,162068
1.922940731048584,1250025.0,24.0,162334
1.9218568801879883,1250025.0,24.0,160826
2.39827036857605,1250025.0,24.0,161058
2.7148337364196777,1250025.0,24.0,161450
1.925081729888916,1250025.0,24.0,162032
1.9387152194976807,1250025.0,24.0,161352
2.678807497024536,1250025.0,24.0,161164
2.3382833003997803,1250025.0,24.0,161066
2.221656560897827,1250025.0,24.0,161860
1.9252259731292725,1250025.0,24.0,160332
1.931748628616333,1250025.0,24.0,160186
1.9254319667816162,1250025.0,24.0,161720
2.3978195190429688,1250025.0,24.0,161794
1.945504903793335,1250025.0,24.0,162210
1.9341323375701904,1250025.0,24.0,162554
2.6432735919952393,1250025.0,24.0,163410
2.237637996673584,1250025.0,24.0,161594
4.034724235534668,1250025.0,24.0,160244
1.934601068496704,1250025.0,24.0,160230
