Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best),Local search applications,Greedy solutions
els19,3.0015997648239137,855235.1666666666,1205.2666666666667,18181995.933333334,5.6322162955381945,0.0,1205.2666666666667,2080.5666666666666
chr20b,4.001221164067586,1592958.5333333334,2049.0333333333333,2501.5333333333333,8.85697708152016,3.8294168842471716,2034.7666666666667,1099.0
chr22a,4.001407845815023,1666629.7333333334,1758.5,6329.133333333333,2.81243231535629,0.0,1758.2666666666667,1404.9666666666667
nug25,6.001726667086284,2894481.3,2369.766666666667,3764.6666666666665,0.551994301994298,0.0,2369.766666666667,2054.9666666666667
tai30b,9.002732888857524,3890113.3666666667,2100.9,683878332.5666667,7.339501421721616,1.399940108028459,2100.9,3807.1
kra30b,9.002651659647624,4484277.033333333,2549.3333333333335,93989.0,2.8101071975497702,0.5250492233646904,2549.3333333333335,3382.366666666667
esc32b,10.001483837763468,8451968.733333332,4224.966666666666,169.86666666666667,1.1111111111111156,0.0,4224.966666666666,192.76666666666668
tai50b,25.006354681650798,12513951.733333332,2436.5666666666666,481110384.9,4.857851489994523,0.6097168280797955,2436.5666666666666,4933.866666666667
sko56,31.00400443871816,18483915.7,2964.4666666666667,34970.6,1.4876081026176753,0.5165708979046956,2964.4666666666667,3086.0333333333333
tai60a,36.007299248377485,18354435.533333335,2498.4,7365902.266666667,2.219554678010606,1.2385854935121778,2489.2,4135.8
sko64,40.008714985847476,23768961.1,2921.733333333333,49241.2,1.532434327188744,0.5361045816322323,2921.733333333333,2365.133333333333
sko72,51.010581914583845,27198525.933333334,2620.2,67324.33333333333,1.6124325847218794,0.7878531755614586,2620.2,2775.5333333333333
lipa90b,81.02777729829153,31993044.2,1920.2666666666667,14704437.033333333,17.725523328866718,0.0,1913.2,3385.866666666667
sko100d,100.02630671660106,40202822.6,2002.6,151504.53333333333,1.2893334046460165,0.7982564047708188,2002.6,2078.733333333333
sko100c,100.03440557320913,40896963.166666664,2035.1,150039.26666666666,1.4724991320735976,0.6763062855906182,2035.1,1909.4333333333334
sko100e,100.0265977303187,40920574.56666667,2042.3666666666666,151378.26666666666,1.4939769806682286,0.7656721421387864,2042.3666666666666,1915.1333333333334
sko100a,100.0294626712799,40584721.06666667,2018.9333333333334,153818.66666666666,1.19515971281079,0.6749911185379139,2018.9333333333334,1994.9333333333334
sko100b,100.02689205010732,41236277.36666667,2057.6666666666665,155884.66666666666,1.296163926614242,0.6498148027812074,2057.6666666666665,1854.9666666666667
tho150,225.11904723644255,51176326.53333333,1092.6333333333334,8272234.666666667,1.7069946247148728,1.0520080291164897,1092.6333333333334,2242.266666666667
tai256c,655.4708261410395,93418020.23333333,714.4,44958574.2,0.4452264148759875,0.2831769419776818,714.4,53.56666666666667
