Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best),Local search applications,Greedy solutions,Reemplacements in GADEGD
els19,3.610643823941549,4159501.466666667,3130.0,17997928.0,4.562834044093878,4.562834044093878,3131.0,3131.0,0.0
chr20b,4.0005360762278235,3235020.6,4112.2,3160.0,37.51087902523934,37.51087902523934,4113.2,4113.2,0.0
chr22a,4.840650637944539,5119215.433333334,3758.866666666667,6594.0,7.115009746588694,7.115009746588694,3759.866666666667,3759.866666666667,0.0
nug25,6.250809621810913,6787643.233333333,3847.366666666667,3754.0,0.2670940170940171,0.2670940170940171,3848.366666666667,3848.366666666667,0.0
tai30b,9.001286800702413,9109287.633333333,4224.1,727053081.0,14.11608104144583,14.11608104144583,4225.1,4225.1,0.0
kra30b,9.001251443227131,10352004.8,3674.766666666667,91830.0,0.44847954495733977,0.44847954495733977,3675.766666666667,3675.766666666667,0.0
esc32b,10.240997346242269,10173657.0,4686.1,168.0,0.0,0.0,4687.1,4687.1,0.0
tai50b,25.008252795537313,24560195.9,1893.0666666666666,462684395.0,0.8419130003443147,0.8419130003443147,1894.0666666666666,1894.0666666666666,0.0
sko56,31.371725781758627,26147063.5,1888.6333333333334,34670.666666666664,0.6171764660359401,0.6152417435718847,1889.6333333333334,1889.6333333333334,0.0
tai60a,36.01259837150574,27534777.7,1877.4,7397511.333333333,2.658206264941905,2.4857472187613534,1878.4,1878.4,0.0
sko64,40.976311381657915,31626140.9,1602.4666666666667,48849.2,0.7241535733432246,0.6185822095756526,1603.4666666666667,1603.4666666666667,0.0
sko72,51.858715232213335,36307295.86666667,1377.3,66800.66666666667,0.8220639137084513,0.5795701521371649,1378.3,1378.3,0.0
lipa90b,81.01786661148071,42143508.36666667,2641.3333333333335,12490441.0,0.0,0.0,2642.3333333333335,2642.3333333333335,0.0
sko100d,100.0751252969106,46922700.666666664,801.9666666666667,150946.73333333334,0.9164126152145646,0.7247151949510616,802.9666666666667,802.9666666666667,0.0
sko100c,100.08070191542308,48865162.06666667,856.3333333333334,148882.33333333334,0.6900578467309674,0.5126401644776887,857.3333333333334,857.3333333333334,0.0
sko100e,100.06262499491373,49675649.86666667,861.6,150326.2,0.7886020784445268,0.5202815957090178,862.6,862.6,0.0
sko100a,100.06496770381928,48421500.266666666,829.5666666666667,153091.2,0.7165695188221284,0.5631504848620413,830.5666666666667,830.5666666666667,0.0
sko100b,100.08555999596913,49197816.266666666,844.8666666666667,155190.86666666667,0.8453224164446479,0.670608876470206,845.8666666666667,845.8666666666667,0.0
tho150,225.32167043685914,67439000.93333334,421.06666666666666,8231776.4,1.2095608748028852,1.0173115836701954,422.06666666666666,422.06666666666666,0.0
tai256c,656.1310109217961,88537264.63333334,433.06666666666666,44869065.6,0.24524872979453494,0.19464113978205286,434.06666666666666,434.06666666666666,0.0
