Algorithm,Time,Evaluations,Iterations,Distance to optimum (Avg),Distance to optimum (Best)
GADEGD-new-ps=128,88.99589359132867,5299486.033333333,949.9350877192983,3.728760895806618,2.6858228560029542
GADEGD-new-ps=16,88.94806798382808,1850106.989473684,15794.264912280702,4.013956249895706,1.6760531152346667
GADEGD-new-ps=32,88.95405310162327,3524063.678947368,8397.705263157894,4.324838969264664,2.919200395573532
GADEGD-new-ps=64,88.96950070983485,4580206.87368421,2712.435087719298,4.150553118353566,2.7367106246012254
GADEGD-new-ps=8,88.94499790417522,1052862.3140350876,38723.76666666666,4.400993786857821,3.0269772051442283
GADEGD-original-ps=128,88.97287301766244,4227183.899999999,2482.980701754386,4.171143378080894,2.1085098227842463
GADEGD-original-ps=16,88.94334466080916,2437021.1543859653,43204.75614035088,6.070829904356184,2.830390746762864
GADEGD-original-ps=32,88.9472229141938,3097724.2438596496,18402.101754385967,5.335965646770801,2.56859591576046
GADEGD-original-ps=64,88.95400759044445,3584385.1771929828,7404.729824561404,4.457731992820512,2.273083411041253
GADEGD-original-ps=8,88.94123715308675,1630941.749122807,96786.6192982456,7.410943064721371,2.952905058142664
GRASP-2optb-alpha=0.005,89.02119280873683,33271310.822807018,2138.529824561404,3.712254245997543,3.6211550915598862
GRASP-2optb-alpha=0.01,89.01310163464461,33221798.480701756,2100.3947368421054,3.677099745003071,3.5456640896703795
GRASP-2optb-alpha=0.05,89.02968537974776,33775462.422807015,2055.438596491228,1.7775613560130434,1.621886746883461
GRASP-2optb-alpha=0.1,89.02429411704081,33674447.53333333,2006.5947368421055,1.5383090941930655,0.8803944497054715
GRASP-2optb-alpha=0.2,89.02327210317578,33748660.99122807,1921.073684210526,1.705616509222567,0.6033731073291785
MADEGD-new-ps=128,93.45459434693319,38364254.819298245,26.73859649122807,0.5773734872081304,0.29424654830275093
MADEGD-new-ps=16,89.6186708437769,37244287.51578947,229.33859649122803,0.8292810864432988,0.24547272036649842
MADEGD-new-ps=32,90.3649371046769,37218485.72105263,113.68070175438592,0.7129513471819128,0.12508640035438337
MADEGD-new-ps=64,91.64999172478392,37511519.15263158,55.06315789473683,0.6743202405658323,0.13696189435655934
MADEGD-new-ps=8,89.26005466151656,37404185.85614035,480.86140350877196,0.8937507175228888,0.13349512136233493
MADEGD-original-ps=128,88.97919712986864,8830038.870175438,2805.7315789473687,3.8070151208380585,1.7968604342902397
MADEGD-original-ps=16,88.94967801278096,14758751.845614035,31048.44912280701,3.7832399387343414,1.6938717433588644
MADEGD-original-ps=32,88.95897359429745,13060696.16842105,13247.243859649125,4.0030164702380215,1.784486167373987
MADEGD-original-ps=64,88.9629014588239,10150608.149122806,6580.933333333333,3.95409366611948,1.8986883058627368
MADEGD-original-ps=8,88.94753967209867,12861365.57368421,76828.27192982455,2.959123493774992,0.3978160281993454
PathRelinking-2optb-alpha=0.05,95.11251608196058,39750699.798245616,169.45438596491226,0.987646484060068,0.3239124742451729
PathRelinking-2optb-alpha=0.1,95.02657164314338,39852160.08070175,152.52631578947367,1.1633186674256202,0.17411503093690187
