Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best),Local search applications,Greedy solutions,Reemplacements in the population
els19,3.6115689992904665,7603802.333333333,1376.0333333333333,17975596.533333335,4.43309458502794,4.208999155732202,11061.1,52.833333333333336,10986.833333333334
chr20b,4.002146116892496,7850649.366666666,1194.3666666666666,2428.8,5.69190600522194,0.0,9909.5,354.56666666666666,8004.766666666666
chr22a,4.842510120073954,8938804.3,1080.1666666666667,6234.4,1.2735542560103905,0.0,9100.966666666667,459.6333333333333,7235.8
nug25,6.253924282391866,11370750.2,832.8,3744.0,0.0,0.0,7692.466666666666,1030.0666666666666,4761.333333333333
tai30b,9.00840040842692,13940640.2,636.2333333333333,642623903.1333333,0.8643293392957921,0.0,6086.3,996.4333333333333,3926.0666666666666
kra30b,9.005141615867615,15265131.366666667,1039.4333333333334,91766.66666666667,0.37920221687450395,0.0,8509.8,194.33333333333334,8156.066666666667
esc32b,10.244327211380005,17158650.966666665,1041.5666666666666,168.0,0.0,0.0,8548.166666666666,215.63333333333333,8263.833333333334
tai50b,25.033321245511374,26355511.266666666,398.06666666666666,460684354.2,0.40600476023446563,0.3942496009837307,3712.4666666666667,527.9333333333333,2529.1666666666665
sko56,31.40833069483439,30388480.9,429.8333333333333,34535.6,0.2252016948168743,0.0,3831.5666666666666,392.9,2854.8333333333335
tai60a,36.06040984789531,32695186.666666668,356.3,7322320.6,1.614754560182244,1.086128403119528,3440.8,590.4,2149.133333333333
sko64,41.027379210789995,33533807.166666668,347.0,48600.666666666664,0.21169257838810723,0.0,3112.766666666667,336.76666666666665,2277.0
sko72,51.933460402488706,39335229.6,326.1,66457.46666666666,0.3040730902358426,0.021130161796667473,2894.5,285.7,2179.5666666666666
lipa90b,81.27274605433146,47370038.93333333,214.06666666666666,12908704.166666666,3.348666125292662,0.0,2072.3333333333335,359.8,1357.9333333333334
sko100d,100.33527393341065,49773103.1,201.23333333333332,150285.0,0.47400652511098035,0.2393432101406643,1784.8666666666666,175.0,1311.6666666666667
sko100c,100.28292310237885,52464742.733333334,215.13333333333333,148330.4,0.3167818641706417,0.0852145919844179,1898.7666666666667,177.7,1419.7333333333333
sko100e,100.29610702196757,52730373.266666666,207.36666666666667,149697.0,0.3667448876969494,0.06838752933288636,1853.6,194.66666666666666,1342.9666666666667
sko100a,100.26777092615764,52458472.5,208.93333333333334,152473.66666666666,0.3103029346105031,0.07499901317087933,1864.2,192.73333333333332,1372.9
sko100b,100.20749150911966,51004546.93333333,202.8,154368.73333333334,0.3110880065847925,0.09357333160049386,1808.6666666666667,186.26666666666668,1311.2666666666667
tho150,226.12403003374735,72038064.43333334,116.23333333333333,8182357.066666666,0.6019509517014465,0.2663585379690014,1032.9666666666667,103.1,746.6666666666666
tai256c,658.3353448311487,96007347.36666666,88.73333333333333,44885069.333333336,0.2810038365067506,0.20702292578609485,722.8,12.933333333333334,694.9666666666667
