Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best),Local search applications,Greedy solutions
els19,3.0045069535573323,25106.6,357.53333333333336,17280132.533333335,0.39264688373467466,0.0,0.0,2160.4666666666667
chr20b,4.004721450805664,37755.933333333334,564.0,2503.5333333333333,8.94400928343487,5.395996518711923,0.0,1595.9333333333334
chr22a,4.005240106582642,35012.666666666664,521.5333333333333,6448.8,4.756335282651075,1.949317738791423,0.0,1570.5333333333333
nug25,6.005375027656555,44860.7,652.2666666666667,3766.266666666667,0.5947293447293504,0.0,0.0,3051.633333333333
tai30b,9.00800720055898,49430.333333333336,695.2333333333333,650651753.2666667,2.12435672979116,0.11135001485982687,0.0,4871.4
kra30b,9.005234948794048,78119.73333333334,1156.3333333333333,93587.66666666667,2.371107708014298,0.29534018814263835,0.0,4050.4
esc32b,10.003008111317952,146305.8,2284.6,181.6,8.095238095238093,0.0,0.0,27.4
tai50b,25.015530053774516,77837.13333333333,1077.5666666666666,473554511.96666664,3.211051448283895,0.46807656581633245,0.0,8808.866666666667
sko56,31.01371415456136,95361.93333333333,1340.5333333333333,35144.86666666667,1.9933445547236306,0.7313250914156364,0.0,9503.8
tai60a,36.01809627215068,99391.06666666667,1401.6333333333334,7434649.333333333,3.1735850582244676,2.436954288684842,0.0,9622.533333333333
sko64,40.01851840813955,99409.33333333333,1402.4,49490.2,2.0458575611365357,0.9361210771578209,0.0,9591.733333333334
sko72,51.02403979301452,102918.56666666667,1443.2666666666667,67487.6,1.85885051919827,1.0202849553248008,0.0,10485.5
lipa90b,81.04424076875051,104315.73333333334,1463.9,15067645.733333332,20.63341665304958,0.0,0.0,10562.133333333333
sko100d,100.05046689510345,91556.0,1269.1666666666667,152446.06666666668,1.9188015902729585,1.113815050542868,0.0,10265.333333333334
sko100c,100.04715883731842,93923.53333333334,1305.9666666666667,150707.0,1.924091382505309,1.1930042877818507,0.0,10277.666666666666
sko100e,100.04581245581309,92827.3,1288.6666666666667,151839.2,1.8030170968823411,1.1304056319141804,0.0,10288.633333333333
sko100a,100.05988063812256,92176.76666666666,1279.0666666666666,154560.2,1.6830041709977577,0.8539361324193103,0.0,10252.5
sko100b,100.0450533469518,94421.2,1312.6333333333334,156495.53333333333,1.6931141291398568,1.015010721944246,0.0,10348.666666666666
tho150,225.13465536435444,76512.66666666667,1057.8666666666666,8337711.2,2.5120275683054016,1.5968971394243832,0.0,8745.2
tai256c,655.0208972454071,1334453.4666666666,20849.833333333332,45933627.13333333,2.6236632180421187,1.5180176881252863,0.0,0.13333333333333333
