Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best),Local search applications,Greedy solutions,Reemplacements in the population
els19,3.610568976402283,4514741.4,3397.233333333333,17997928.0,4.562834044093878,4.562834044093878,3398.233333333333,3398.233333333333,0.0
chr20b,4.000554291407267,3172793.1,4032.8,3160.0,37.51087902523934,37.51087902523934,4033.8,4033.8,0.0
chr22a,4.840741046269735,5453405.266666667,4001.4333333333334,6594.0,7.115009746588694,7.115009746588694,4002.4333333333334,4002.4333333333334,0.0
nug25,6.250674478212992,6873339.133333334,3961.6666666666665,3756.0,0.32051282051282054,0.2670940170940171,3962.6666666666665,3962.6666666666665,0.0
tai30b,9.001267170906067,9940469.1,3765.633333333333,727053081.0,14.11608104144583,14.11608104144583,3766.633333333333,3766.633333333333,0.0
kra30b,9.001305723190308,10340721.066666666,3576.633333333333,91830.0,0.44847954495733977,0.44847954495733977,3577.633333333333,3577.633333333333,0.0
esc32b,10.241139316558838,9496019.866666667,4362.166666666667,168.0,0.0,0.0,4363.166666666667,4363.166666666667,0.0
tai50b,25.008539891242982,23379170.533333335,1818.7333333333333,461828980.1666667,0.6554756163858563,0.6424796769066957,1819.7333333333333,1819.7333333333333,0.0
sko56,31.36689398288727,27345501.366666667,1970.7,34687.73333333333,0.666705361115938,0.41209588484531895,1971.7,1971.7,0.0
tai60a,36.00993241469065,29834183.333333332,2014.0,7381196.933333334,2.431804849003278,1.9681480418575619,2015.0,2015.0,0.0
sko64,40.97511094411214,30571003.733333334,1547.2,48861.933333333334,0.7504089515718881,0.6103344467813105,1548.2,1548.2,0.0
sko72,51.862380703290306,35520154.03333333,1358.9666666666667,66790.33333333333,0.8064678419061345,0.6157932866457377,1359.9666666666667,1359.9666666666667,0.0
lipa90b,81.01693195501963,41730724.7,2494.633333333333,12490441.0,0.0,0.0,2495.633333333333,2495.633333333333,0.0
sko100d,100.07843669255574,48474143.9,827.2,150879.66666666666,0.8715747624396006,0.6257688399208429,828.2,828.2,0.0
sko100c,100.0762148698171,49424204.2,849.6666666666666,148775.73333333334,0.6179635966870035,0.4409516982050831,850.6666666666666,850.6666666666666,0.0
sko100e,100.07333020369212,48301444.766666666,834.3,150247.0,0.7355011733154543,0.5135769359704995,835.3,835.3,0.0
sko100a,100.05764529705047,47001801.266666666,801.4333333333333,153025.26666666666,0.6731928965846915,0.4631518006342022,802.4333333333333,802.4333333333333,0.0
sko100b,100.07994957764943,49248158.333333336,847.8666666666667,155106.66666666666,0.7906080100504627,0.5900318409253362,848.8666666666667,848.8666666666667,0.0
tho150,225.2750990867615,66886702.833333336,413.8333333333333,8223245.0,1.104667446496532,0.8279934167736536,414.8333333333333,414.8333333333333,0.0
tai256c,656.0327834129333,88220230.6,428.6333333333333,44870996.4,0.24956247075746663,0.1997484589457555,429.6333333333333,429.6333333333333,0.0
