Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best),Local search applications,Greedy solutions,Reemplacements in GADEGD
els19,3.6105563561121623,4413677.666666667,3253.133333333333,17997928.0,4.562834044093878,4.562834044093878,3254.133333333333,3254.133333333333,0.0
chr20b,4.000403459866842,3502368.7,4047.1,2519.3333333333335,9.631563678561076,9.573542210617928,4048.1,4048.1,0.0
chr22a,4.84061648050944,4745268.6,4276.0,6276.0,1.949317738791423,1.949317738791423,4277.0,4277.0,0.0
nug25,6.25080889860789,7233841.366666666,3938.366666666667,3746.6666666666665,0.07122507122506717,0.0,3939.366666666667,3939.366666666667,0.0
tai30b,9.001155265172322,9668166.033333333,3672.1666666666665,711385880.4666667,11.657004018767692,11.619020191033544,3673.1666666666665,3673.1666666666665,0.0
kra30b,9.00123352209727,11107258.6,3699.8,91830.0,0.44847954495733977,0.44847954495733977,3700.8,3700.8,0.0
esc32b,10.240956981976828,10677070.6,4857.466666666666,168.0,0.0,0.0,4858.466666666666,4858.466666666666,0.0
tai50b,25.00646449724833,24468244.6,1947.8,461192499.76666665,0.5167549207738334,0.4692118656675816,1948.8,1948.8,0.0
sko56,31.36844056447347,27650182.166666668,1956.0333333333333,34674.066666666666,0.6270435506026633,0.3656625457078182,1957.0333333333333,1957.0333333333333,0.0
tai60a,36.013260912895205,28743502.066666666,1866.9333333333334,7392122.4,2.583421894259231,2.059267034713755,1867.9333333333334,1867.9333333333334,0.0
sko64,40.97438675562541,29918977.433333334,1482.5666666666666,48822.2,0.6684811744814159,0.33815827456802344,1483.5666666666666,1483.5666666666666,0.0
sko72,51.85987536112467,36727240.06666667,1361.3333333333333,66744.33333333333,0.7370401674313699,0.5131610722047815,1362.3333333333333,1362.3333333333333,0.0
lipa90b,81.04097133477529,46812042.5,1107.2,12490441.0,0.0,0.0,1108.2,1108.2,0.0
sko100d,100.06193196773529,48459674.9,799.4,150736.0,0.7755254853719848,0.591003904369685,800.4,800.4,0.0
sko100c,100.07082329591115,50589199.6,819.8666666666667,148747.4,0.5988015852619295,0.30839566622932196,820.8666666666667,820.8666666666667,0.0
sko100e,100.07224535147348,49471664.46666667,807.6333333333333,150336.66666666666,0.7956196223041616,0.5672142138786457,808.6333333333333,808.6333333333333,0.0
sko100a,100.07373245557149,49143374.266666666,806.5666666666667,153029.73333333334,0.6761314544106901,0.5855186115972159,807.5666666666667,807.5666666666667,0.0
sko100b,100.06805323759714,48225079.53333333,795.4666666666667,155047.93333333332,0.7524422206337772,0.5328481382805901,796.4666666666667,796.4666666666667,0.0
tho150,225.33200852076212,66174426.6,397.3333333333333,8218447.266666667,1.0456793909097601,0.6865765083671056,398.3333333333333,398.3333333333333,0.0
tai256c,656.2866533517838,88416203.93333334,414.3,44866328.8,0.23913424550440188,0.20847066980100268,415.3,415.3,0.0
