Time,Objective value
2.085564136505127,152084
2.0856454372406006,152084
3.033637523651123,151196
4.610893487930298,151196
5.679041385650635,151054
6.409822463989258,151016
7.246975660324097,150956
7.911159038543701,150956
8.723682403564453,150956
10.19352126121521,150956
11.107866764068604,150940
11.714116334915161,150940
12.456963300704956,150940
13.15754508972168,150806
13.67732834815979,150806
14.396194696426392,150794
15.194666624069214,150766
15.926149606704712,150758
16.72246026992798,150758
17.94092607498169,150724
19.68847107887268,150708
20.506657123565674,150708
22.254164218902588,150708
23.052600383758545,150708
23.953810214996338,150648
24.67069101333618,150556
25.680766582489014,150528
27.20988416671753,150528
29.338790893554688,150498
30.84868025779724,150340
32.79133677482605,150330
34.49230933189392,150306
35.8036732673645,150268
37.024298429489136,150218
38.002586364746094,150218
38.89544224739075,150218
39.5822696685791,150182
40.237706422805786,150182
41.33654284477234,150182
42.15925598144531,150152
42.95915770530701,150138
43.725178956985474,150138
44.49383544921875,150126
46.07982349395752,150126
47.299015283584595,150102
48.73037600517273,150102
49.85801362991333,150070
51.90468883514404,150070
53.23576736450195,150070
53.8854284286499,150026
54.46765160560608,150026
54.97185134887695,150026
55.521865129470825,150016
56.24400877952576,150016
56.810588359832764,150016
58.22051548957825,150016
60.06495809555054,149996
62.090184688568115,149996
63.59834289550781,149996
64.87569189071655,149982
66.21044778823853,149970
67.52502822875977,149926
69.5700535774231,149926
71.20075392723083,149926
73.07704448699951,149926
73.7906665802002,149922
74.53006505966187,149872
75.78327775001526,149872
76.57901787757874,149872
77.38617706298828,149872
78.24924731254578,149872
79.2230396270752,149872
80.20075106620789,149872
81.88379740715027,149872
83.3378975391388,149872
85.12770438194275,149864
86.08701682090759,149864
86.68211007118225,149860
87.4332971572876,149860
88.33606147766113,149850
89.22418284416199,149822
90.5572452545166,149784
91.30175566673279,149784
92.00215244293213,149784
92.58796262741089,149784
93.2558045387268,149784
94.3080563545227,149784
96.22266697883606,149784
97.37432980537415,149784
98.10283184051514,149784
98.66884350776672,149784
99.37661290168762,149784
100.1789972782135,149784
100.17909955978394,149784
