Time,Evaluations,Iterations,Objective value,Local search applications,Greedy solutions,Reemplacements in GADEGD
9.001519680023193,12076420.0,4018.0,91830,4019.0,4019.0,0.0
9.000600337982178,10224731.0,3421.0,91830,3422.0,3422.0,0.0
9.000514030456543,12125152.0,4070.0,91830,4071.0,4071.0,0.0
9.001057386398315,12197140.0,4064.0,91830,4065.0,4065.0,0.0
9.003314733505249,11292756.0,3753.0,91830,3754.0,3754.0,0.0
9.001699209213257,12211213.0,4063.0,91830,4064.0,4064.0,0.0
9.000885486602783,12257860.0,4080.0,91830,4081.0,4081.0,0.0
9.001413345336914,10261954.0,3420.0,91830,3421.0,3421.0,0.0
9.001335859298706,12190796.0,4080.0,91830,4081.0,4081.0,0.0
9.000579833984375,10057201.0,3332.0,91830,3333.0,3333.0,0.0
9.00081729888916,7792907.0,2594.0,91830,2595.0,2595.0,0.0
9.00024127960205,11613234.0,3905.0,91830,3906.0,3906.0,0.0
9.001398086547852,12099657.0,4038.0,91830,4039.0,4039.0,0.0
9.000078201293945,9969646.0,3321.0,91830,3322.0,3322.0,0.0
9.000219821929932,12151544.0,4043.0,91830,4044.0,4044.0,0.0
9.000940084457397,10628036.0,3552.0,91830,3553.0,3553.0,0.0
9.000210762023926,12082687.0,4045.0,91830,4046.0,4046.0,0.0
9.001591920852661,12167803.0,4035.0,91830,4036.0,4036.0,0.0
9.002742290496826,9757977.0,3246.0,91830,3247.0,3247.0,0.0
9.000528335571289,12254514.0,4058.0,91830,4059.0,4059.0,0.0
9.00137710571289,9395335.0,3132.0,91830,3133.0,3133.0,0.0
9.002277612686157,12260752.0,4088.0,91830,4089.0,4089.0,0.0
9.00330138206482,9366395.0,3105.0,91830,3106.0,3106.0,0.0
9.00112795829773,11885655.0,3942.0,91830,3943.0,3943.0,0.0
9.000846862792969,9965153.0,3317.0,91830,3318.0,3318.0,0.0
9.001737356185913,11107722.0,3687.0,91830,3688.0,3688.0,0.0
9.001442193984985,12143908.0,4050.0,91830,4051.0,4051.0,0.0
9.000415802001953,11849688.0,3963.0,91830,3964.0,3964.0,0.0
9.00064206123352,7617144.0,2521.0,91830,2522.0,2522.0,0.0
9.0021493434906,12212778.0,4051.0,91830,4052.0,4052.0,0.0
