Time,Evaluations,Iterations,Objective value
0.023209571838378906,25622.0,24.0,2724
0.022479772567749023,22947.0,24.0,2942
0.024083852767944336,24506.0,24.0,2764
0.02549004554748535,24811.0,24.0,2750
0.024880647659301758,25454.0,24.0,2668
0.03264784812927246,27855.0,24.0,2838
0.024632930755615234,25442.0,24.0,2674
0.022555828094482422,24353.0,24.0,2844
0.024856090545654297,22757.0,24.0,2680
0.022249221801757812,21699.0,24.0,2592
0.024378061294555664,23347.0,24.0,2724
0.022738218307495117,25066.0,24.0,2852
0.024195194244384766,23454.0,24.0,2642
0.025386571884155273,25748.0,24.0,2732
0.023353099822998047,26428.0,24.0,2770
0.022513389587402344,24211.0,24.0,2646
0.02248978614807129,22816.0,24.0,2874
0.022738933563232422,23714.0,24.0,2690
0.02617645263671875,23799.0,24.0,2692
0.02474355697631836,25629.0,24.0,2816
0.028537511825561523,23983.0,24.0,2756
0.0221860408782959,22631.0,24.0,2762
0.022110462188720703,22922.0,24.0,2680
0.023820161819458008,23036.0,24.0,2554
0.023082971572875977,22330.0,24.0,2746
0.02491927146911621,24131.0,24.0,2866
0.02337503433227539,22756.0,24.0,2914
0.022679567337036133,22553.0,24.0,2876
0.023381471633911133,23672.0,24.0,2720
0.02482891082763672,25716.0,24.0,2740
