Time,Objective value
0.5874016284942627,52652
0.5912661552429199,52652
0.6240701675415039,52482
0.6558575630187988,52482
0.6878876686096191,52482
0.7196073532104492,52482
0.7514786720275879,52482
0.7824161052703857,52444
0.8138649463653564,52402
0.8495466709136963,52402
0.8850324153900146,52300
0.914973258972168,52300
0.9449992179870605,52298
0.9759600162506104,52210
1.0056862831115723,52092
1.0351026058197021,52090
1.0645263195037842,51998
1.0937907695770264,51998
1.12752103805542,51912
1.1559827327728271,51860
1.1844961643218994,51848
1.2116096019744873,51780
1.2388062477111816,51646
1.2704336643218994,51548
1.2962853908538818,51532
1.32120943069458,51532
1.3464834690093994,51420
1.3751671314239502,51332
1.3990464210510254,51332
1.421706199645996,51298
1.4439115524291992,51218
1.47446870803833,51174
1.4965598583221436,51094
1.5183076858520508,51024
1.5401420593261719,50986
1.5619916915893555,50972
1.5791301727294922,50834
1.5923993587493896,50628
1.605679988861084,50628
1.6190085411071777,50608
1.6322405338287354,50608
1.6455237865447998,50578
1.658787727355957,50514
1.6719822883605957,50482
1.6852483749389648,50448
1.6983642578125,50436
1.7139413356781006,50348
1.7271373271942139,50348
1.7402946949005127,50306
1.753312110900879,50222
1.7662253379821777,50202
1.7790563106536865,50202
1.7948081493377686,50170
1.8076887130737305,50134
1.8255677223205566,50110
1.8383915424346924,50082
1.8639440536499023,50078
1.8795456886291504,50062
1.8945808410644531,50024
1.9070394039154053,50018
1.9218897819519043,50016
1.9443981647491455,49996
1.9646270275115967,49980
2.0156211853027344,49980
2.049830198287964,49980
2.0830869674682617,49980
2.1344919204711914,49966
2.1813464164733887,49966
2.2358951568603516,49962
2.288064956665039,49952
2.350463390350342,49952
2.3849873542785645,49938
2.4315106868743896,49936
2.470477342605591,49936
2.522047281265259,49932
2.5790741443634033,49922
2.6263840198516846,49922
2.678018093109131,49918
2.7196555137634277,49896
2.7507994174957275,49890
2.7892096042633057,49888
2.8560471534729004,49888
2.9162652492523193,49888
2.95839524269104,49888
2.9893112182617188,49888
3.0558156967163086,49888
3.1107749938964844,49888
3.150061845779419,49888
3.2169361114501953,49888
3.2744688987731934,49872
3.344697952270508,49872
3.4048402309417725,49872
3.4497451782226562,49858
3.48382568359375,49858
3.532559633255005,49858
3.581775665283203,49858
3.6181576251983643,49840
3.6538279056549072,49820
3.7021970748901367,49820
3.7435758113861084,49796
3.784885883331299,49796
3.8133833408355713,49772
3.846302032470703,49772
3.89259934425354,49746
3.9238321781158447,49746
3.9723737239837646,49746
4.00611138343811,49746
4.059972524642944,49740
4.10170841217041,49732
4.14033055305481,49732
4.186510324478149,49718
4.2485198974609375,49704
4.293058395385742,49704
4.344753742218018,49704
4.401767015457153,49704
4.443663120269775,49692
4.510711669921875,49692
4.573458433151245,49692
4.641416072845459,49692
4.6706225872039795,49692
4.7376604080200195,49692
4.808367490768433,49692
4.871727228164673,49692
4.921951770782471,49692
4.974035024642944,49692
5.018157482147217,49692
5.103071451187134,49692
5.156416416168213,49686
5.229095697402954,49686
5.295115947723389,49678
5.363593339920044,49678
5.408642530441284,49678
5.445010185241699,49654
5.514540195465088,49646
5.567192077636719,49646
5.621832370758057,49646
5.666271448135376,49646
5.720488786697388,49646
5.780592441558838,49646
5.837996959686279,49646
5.877296447753906,49646
5.929092645645142,49646
5.968174934387207,49646
6.027397394180298,49646
6.079566478729248,49644
6.141496658325195,49636
6.191338777542114,49636
6.251004934310913,49636
6.2880144119262695,49636
6.3522655963897705,49636
6.422764539718628,49636
6.483270645141602,49634
6.546254634857178,49634
6.593796014785767,49634
6.64302396774292,49634
6.6974875926971436,49624
6.746933937072754,49624
6.798847198486328,49624
6.861084461212158,49624
6.916135549545288,49624
6.966005802154541,49624
7.025656700134277,49624
7.085429668426514,49624
7.148033142089844,49624
7.187764406204224,49624
7.234227180480957,49624
7.309051752090454,49624
7.381360769271851,49624
7.438611745834351,49624
7.501094102859497,49624
7.5691077709198,49622
7.641010046005249,49622
7.740941047668457,49606
7.819153547286987,49606
7.909794092178345,49606
8.02217960357666,49606
8.156047105789185,49606
8.23100996017456,49606
8.322920799255371,49606
8.40788459777832,49606
8.51947546005249,49606
8.60712480545044,49606
8.733731031417847,49592
8.860743522644043,49592
8.973607063293457,49592
9.085808515548706,49548
9.182443380355835,49548
9.272101879119873,49548
9.358662843704224,49548
9.463415145874023,49548
9.561482906341553,49546
9.66843843460083,49516
9.76280689239502,49516
9.817326068878174,49488
9.928472995758057,49488
9.986562013626099,49488
10.064185857772827,49488
10.112038612365723,49488
10.158923864364624,49488
10.205707311630249,49488
10.28057050704956,49488
10.323127508163452,49488
10.389989852905273,49488
10.452552556991577,49488
10.517818212509155,49488
10.60009217262268,49488
10.691935300827026,49488
10.744189977645874,49488
10.801144361495972,49488
10.873595714569092,49488
10.962086915969849,49488
11.013238191604614,49488
11.063660144805908,49488
11.136069297790527,49488
11.188651084899902,49488
11.26137661933899,49488
11.356530666351318,49488
11.428480386734009,49488
11.565737247467041,49488
11.679070711135864,49488
11.822363376617432,49488
11.888819694519043,49488
12.015020608901978,49488
12.147773027420044,49488
12.2565279006958,49488
12.343887567520142,49488
12.429317712783813,49488
12.537581443786621,49488
12.60974907875061,49488
12.713927268981934,49488
12.835004091262817,49488
12.965113162994385,49488
13.057567358016968,49488
13.139189720153809,49488
13.254791021347046,49488
