Time,Evaluations,Iterations,Objective value
0.21533679962158203,335712.0,24.0,653805562
0.28360557556152344,336407.0,24.0,645523001
0.28847217559814453,335195.0,24.0,651464364
0.2509644031524658,346711.0,24.0,676370068
0.15746688842773438,340328.0,24.0,657910417
0.1672661304473877,361034.0,24.0,640727107
0.21393752098083496,316702.0,24.0,641943931
0.16053533554077148,342587.0,24.0,640170996
0.2721734046936035,343055.0,24.0,649749523
0.16009116172790527,346191.0,24.0,648437331
0.17270207405090332,334614.0,24.0,652973147
0.2720482349395752,349926.0,24.0,654382017
0.15332818031311035,324847.0,24.0,653921327
0.19097447395324707,344231.0,24.0,649337393
0.15495777130126953,331364.0,24.0,649131526
0.2974221706390381,347918.0,24.0,652143020
0.2139430046081543,318356.0,24.0,649451985
0.1654798984527588,357386.0,24.0,640538164
0.15125107765197754,325093.0,24.0,653099726
0.2870943546295166,332228.0,24.0,641481768
0.19147920608520508,360710.0,24.0,660484501
0.200270414352417,359717.0,24.0,649431761
0.1483302116394043,314191.0,24.0,639878312
0.16214370727539062,325090.0,24.0,651423023
0.29614830017089844,350651.0,24.0,640877528
0.2867698669433594,327401.0,24.0,649174955
0.2493762969970703,365339.0,24.0,649621690
0.2986409664154053,345081.0,24.0,652297081
0.16288280487060547,351116.0,24.0,655483069
0.15926361083984375,333646.0,24.0,638968654
