Time,Objective value
0.2687416076660156,9309996
0.268751859664917,9309996
0.5367181301116943,9260804
0.8053684234619141,9260804
1.074277400970459,9260804
1.3434481620788574,9260804
1.6119637489318848,9260804
1.8814871311187744,9250220
2.1517012119293213,9250220
2.421344757080078,9236220
2.6902031898498535,9236220
2.9586691856384277,9236220
3.142301559448242,9236220
3.2722694873809814,9211604
3.4033234119415283,9211604
3.5346240997314453,9211604
3.664468288421631,9211604
3.794367790222168,9172260
3.923457622528076,9172260
4.0524773597717285,9172260
4.181551933288574,9172260
4.310732364654541,9172260
4.43958306312561,9172260
4.568623781204224,9172260
4.697309494018555,9172260
4.826544761657715,9122206
4.826556921005249,9122206
