Time,Evaluations,Iterations,Objective value,Local search applications,Greedy solutions,Reemplacements in GADEGD
100.05417442321777,46649354.0,811.0,150180,812.0,812.0,0.0
100.0931921005249,49509649.0,851.0,150222,852.0,852.0,0.0
100.01298069953918,50355836.0,869.0,150530,870.0,870.0,0.0
100.07082676887512,46840036.0,805.0,150326,806.0,806.0,0.0
100.13973450660706,44934633.0,772.0,150122,773.0,773.0,0.0
100.02308583259583,49081329.0,843.0,150390,844.0,844.0,0.0
100.10007333755493,43646630.0,746.0,150476,747.0,747.0,0.0
100.0781934261322,49259040.0,849.0,150146,850.0,850.0,0.0
100.07766342163086,50301714.0,867.0,150220,868.0,868.0,0.0
100.15289831161499,48853011.0,856.0,150434,857.0,857.0,0.0
100.0755922794342,48546031.0,839.0,150312,840.0,840.0,0.0
100.07136559486389,60351948.0,1043.0,150092,1044.0,1044.0,0.0
100.00083780288696,51326555.0,881.0,150080,882.0,882.0,0.0
100.09677863121033,45453431.0,793.0,150348,794.0,794.0,0.0
100.12859678268433,49521659.0,850.0,150170,851.0,851.0,0.0
100.09996938705444,52775233.0,908.0,149916,909.0,909.0,0.0
100.06157422065735,41946776.0,727.0,149980,728.0,728.0,0.0
100.06706738471985,52005708.0,907.0,150408,908.0,908.0,0.0
100.15977096557617,45054834.0,787.0,150394,788.0,788.0,0.0
100.0730926990509,54010494.0,925.0,150204,926.0,926.0,0.0
100.1358015537262,45199991.0,779.0,150410,780.0,780.0,0.0
100.06505250930786,46536940.0,806.0,150038,807.0,807.0,0.0
100.03493237495422,44682006.0,781.0,150192,782.0,782.0,0.0
100.0475013256073,47275595.0,822.0,150142,823.0,823.0,0.0
100.08080673217773,54537336.0,935.0,150216,936.0,936.0,0.0
100.05808281898499,43738931.0,759.0,150194,760.0,760.0,0.0
100.02494931221008,47995727.0,840.0,150370,841.0,841.0,0.0
100.0623300075531,44281519.0,754.0,150256,755.0,755.0,0.0
100.0366530418396,46918597.0,806.0,150304,807.0,807.0,0.0
100.01632785797119,47452800.0,818.0,150338,819.0,819.0,0.0
