Time,Objective value
8.641814470291138,154598
8.642560958862305,154598
12.377519369125366,152854
15.785047054290771,152798
20.433243989944458,152696
25.208877563476562,152696
28.97534704208374,152696
33.24052453041077,152656
36.4433491230011,152656
39.603880405426025,152638
42.74194574356079,152590
46.886813163757324,152590
51.68000769615173,152590
54.46439814567566,152514
57.70961356163025,152514
62.36130976676941,152492
67.0181303024292,152458
70.31900238990784,152458
73.40977644920349,152458
76.29541873931885,152458
79.53425216674805,152450
83.15203309059143,152450
86.30595588684082,152442
89.21449971199036,152442
92.50046968460083,152414
95.86582136154175,152414
99.11166167259216,152414
103.60273313522339,152414
103.60343432426453,152414
