Time,Objective value
0.00899958610534668,176394
0.011727571487426758,176394
0.0444791316986084,175716
0.07725048065185547,174732
0.10964822769165039,173948
0.14206314086914062,173744
0.17432117462158203,173530
0.20616650581359863,172896
0.2382204532623291,172626
0.26961421966552734,172626
0.3007981777191162,172082
0.3320159912109375,171392
0.3625977039337158,171392
0.3926098346710205,171302
0.4229440689086914,171036
0.4531059265136719,170706
0.4827892780303955,170498
0.5128560066223145,169762
0.5430343151092529,169634
0.5724184513092041,169528
0.6013369560241699,169478
0.6300053596496582,169292
0.6585354804992676,169072
0.6861457824707031,168762
0.7125513553619385,168710
0.7383565902709961,168444
0.7629315853118896,168218
0.786517858505249,167940
0.8080930709838867,167284
0.8287732601165771,167164
0.8561336994171143,165846
0.8769469261169434,165708
0.8976583480834961,165708
0.9186375141143799,165708
0.9402098655700684,165708
0.9628474712371826,165708
0.9867067337036133,165708
1.0183682441711426,163986
1.0431702136993408,163986
1.0683655738830566,163986
1.0944123268127441,163796
1.1281745433807373,163676
1.154778003692627,163676
1.1884315013885498,163596
1.2289199829101562,163596
1.2624521255493164,163492
1.3168907165527344,163492
1.3736984729766846,163402
1.4225330352783203,163402
1.469374179840088,163402
1.5144906044006348,163236
1.565445899963379,163168
1.5820422172546387,163022
1.6038098335266113,162924
1.6179463863372803,162696
1.6389718055725098,162588
1.6603271961212158,162518
1.695927619934082,162398
1.7179207801818848,162252
1.7325289249420166,162226
1.753598928451538,162080
1.7748816013336182,162034
1.7893097400665283,161826
1.8451135158538818,161656
1.8744969367980957,161640
1.951678991317749,161620
2.0517578125,161496
2.110557794570923,161438
2.1753859519958496,161394
2.2680153846740723,161306
2.36171555519104,161306
2.4546327590942383,161306
2.5669538974761963,161306
2.6752614974975586,161266
2.7691051959991455,161120
2.828202486038208,161120
2.8925323486328125,161106
2.9359092712402344,160986
2.985518217086792,160940
3.021449327468872,160852
3.063871145248413,160788
3.0961503982543945,160684
3.167534112930298,160678
3.2400763034820557,160550
3.3003149032592773,160508
3.348731756210327,160424
3.442779541015625,160424
3.539504289627075,160344
3.635554075241089,160272
3.754908323287964,160248
3.8512585163116455,160174
3.925572156906128,160174
4.00887656211853,160124
4.099306344985962,160090
4.1642515659332275,160048
4.2286012172698975,159986
4.320586204528809,159940
4.442341327667236,159878
4.5505757331848145,159878
4.623757362365723,159878
4.731221437454224,159860
4.845897674560547,159756
4.925945520401001,159756
5.047152280807495,159754
5.17685604095459,159714
5.299480676651001,159686
5.393989562988281,159686
5.515349864959717,159670
5.651721000671387,159646
5.824652194976807,159646
5.908124208450317,159636
6.05126428604126,159612
6.188728332519531,159594
6.284755706787109,159546
6.386212348937988,159546
6.501823902130127,159502
6.658679962158203,159418
6.838533878326416,159402
7.022222518920898,159368
7.170569896697998,159354
7.352184295654297,159354
7.604680299758911,159350
7.810855150222778,159350
8.079252481460571,159350
8.290891647338867,159350
8.478386163711548,159346
8.718582391738892,159346
9.046810388565063,159290
9.22294545173645,159290
9.429347515106201,159256
9.737223863601685,159256
9.982398271560669,159256
10.192574977874756,159202
10.293285131454468,159202
10.468394041061401,159176
10.576480150222778,159136
10.670619249343872,159070
10.76412558555603,159008
10.836675882339478,159008
10.971729278564453,158950
11.045727968215942,158950
11.187430143356323,158950
11.317771434783936,158896
11.385618448257446,158892
11.513894319534302,158872
11.678292036056519,158872
11.794730186462402,158854
11.953219890594482,158836
12.076921224594116,158824
12.263422966003418,158824
12.367104291915894,158796
12.524871349334717,158792
12.676817655563354,158768
12.752079248428345,158766
12.89380931854248,158724
12.981773853302002,158700
13.096403360366821,158662
13.190499067306519,158618
13.304569244384766,158566
13.371402502059937,158544
13.485394477844238,158450
13.551615953445435,158450
13.650811672210693,158416
13.68828558921814,158364
13.773029565811157,158340
13.859102487564087,158340
13.938390731811523,158322
14.030990362167358,158236
14.159152030944824,158190
14.302943229675293,158146
14.413344860076904,158142
14.521939992904663,158132
14.62981915473938,158132
14.710097074508667,158132
14.810264587402344,158110
14.917659521102905,158110
15.05351209640503,158096
15.18359661102295,158068
15.30001449584961,158042
15.436511278152466,158042
15.517341136932373,158042
15.590011835098267,158042
15.724324703216553,158030
15.8119797706604,158016
15.912782192230225,157982
16.0204017162323,157972
16.149698972702026,157962
16.272552490234375,157962
16.429901838302612,157936
16.554725885391235,157936
16.718865633010864,157936
16.87108588218689,157934
17.00194025039673,157934
17.188986778259277,157934
17.30003070831299,157934
17.45045042037964,157920
17.567877531051636,157918
17.719006776809692,157884
17.82108497619629,157884
18.041441440582275,157870
18.139931440353394,157854
18.227546215057373,157806
18.397345781326294,157806
18.555959701538086,157806
18.6809241771698,157806
18.7980797290802,157802
18.919811725616455,157802
19.041950941085815,157796
19.220800161361694,157796
19.36641550064087,157782
19.581510305404663,157760
19.66646695137024,157730
19.858996152877808,157728
19.99029517173767,157706
20.101004600524902,157702
20.223984479904175,157682
20.33971881866455,157670
20.440826892852783,157670
20.56256675720215,157640
20.671076774597168,157640
20.750725269317627,157596
20.81598401069641,157596
20.901525497436523,157578
20.95289897918701,157550
21.05166721343994,157536
21.17320227622986,157536
21.275156259536743,157518
21.43887734413147,157518
21.59084391593933,157518
21.71451449394226,157516
21.837818145751953,157510
21.93913435935974,157490
22.110015392303467,157490
22.22702193260193,157490
22.3640239238739,157482
22.530457019805908,157482
22.69633460044861,157440
22.848130464553833,157440
23.000626802444458,157440
23.17406940460205,157438
23.33384084701538,157432
23.431604146957397,157432
23.609118223190308,157432
23.726616859436035,157406
23.884592056274414,157406
24.057907342910767,157396
24.231762409210205,157396
