Time,Evaluations,Iterations,Objective value
2.481372356414795,1357288.0,24.0,151008
3.455153703689575,1348673.0,24.0,150902
4.313853025436401,1345686.0,24.0,150424
3.4581518173217773,1322067.0,24.0,150970
2.3021585941314697,1375782.0,24.0,151362
2.2530150413513184,1337039.0,24.0,151160
2.2878432273864746,1363262.0,24.0,150996
2.2384097576141357,1334086.0,24.0,151088
3.417788028717041,1360182.0,24.0,151446
2.279273748397827,1359798.0,24.0,151238
2.2701873779296875,1356092.0,24.0,151014
2.6438441276550293,1307870.0,24.0,151224
2.2556097507476807,1346269.0,24.0,151394
2.3894479274749756,1330057.0,24.0,151302
2.2409894466400146,1336756.0,24.0,151340
3.8609461784362793,1356424.0,24.0,151364
3.545316219329834,1361674.0,24.0,151456
2.2449889183044434,1336792.0,24.0,151222
2.2309460639953613,1361390.0,24.0,151024
2.2682101726531982,1353543.0,24.0,151412
2.324126720428467,1313949.0,24.0,151350
3.481137990951538,1329798.0,24.0,150952
2.9192090034484863,1352896.0,24.0,151330
2.3168840408325195,1381969.0,24.0,151216
2.23114013671875,1331442.0,24.0,151580
2.2390575408935547,1334819.0,24.0,151178
2.4209961891174316,1317789.0,24.0,151052
3.3724582195281982,1318849.0,24.0,151236
2.2694993019104004,1356759.0,24.0,150888
3.305856943130493,1339569.0,24.0,150952
